"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5","Trait Index  6","Trait Index  7","Trait Index  8","Trait Index  9","Trait Index 10","Trait Index 11","Trait Index 12","Trait Index 13","Trait Index 14","Trait Index 15","Trait Index 16","Trait Index 17"
    9,      0,      15773,          0,      15773,   1.000000,                0,                0,                0,                0,                0,                0,             2606,                0,             2585,                0,             2691,                0,             2657,                0,             2605,                0,             2629,                0
    9,     11,      71754,          0,      71754,   4.549166,                0,                0,                0,                0,             1235,            63503,              226,                0,             1417,                0,             1312,                0,             1358,                0,             1404,                0,             1299,                0
    9,     23,      64025,          0,      64025,   0.892285,                0,                0,                0,                0,              840,            25560,            34940,                0,              105,                0,              681,                0,              602,                0,              628,                0,              669,                0
    9,     35,      45148,          0,      45148,   0.705162,                0,                0,                0,                0,              254,            12306,            14001,                0,            17599,                0,               54,                0,              328,                0,              284,                0,              322,                0
    9,     47,      32644,          0,      32644,   0.723044,                0,                0,                0,                0,              498,             9501,             6924,                0,             7030,                0,             8389,                0,               27,                0,              146,                0,              129,                0
    9,     59,      33849,          0,      33849,   1.036913,                0,                0,                0,                0,              758,            16997,             5273,                0,             3444,                0,             3316,                0,             3982,                0,               12,                0,               67,                0
    9,     71,      40723,          0,      40723,   1.203078,                0,                0,                0,                0,              530,            22851,             9493,                0,             2677,                0,             1670,                0,             1598,                0,             1896,                0,                8,                0
    9,     83,      45425,          0,      45425,   1.115463,                0,                0,                0,                0,              374,            24132,            12461,                0,             4774,                0,             1241,                0,              783,                0,              780,                0,              880,                0
    9,     95,      39495,          0,      39495,   0.869455,                0,                0,                0,                0,              503,            15767,            13369,                0,             6249,                0,             2266,                0,              621,                0,              360,                0,              360,                0
    9,    107,      31738,          0,      31738,   0.803595,                0,                0,                0,                0,              235,            11725,             8584,                0,             6677,                0,             2968,                0,             1071,                0,              299,                0,              179,                0
    9,    119,      30156,          0,      30156,   0.950154,                0,                0,                0,                0,              317,            14043,             6371,                0,             4241,                0,             3120,                0,             1439,                0,              489,                0,              136,                0
