"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5","Trait Index  6","Trait Index  7","Trait Index  8"
    9,      0,      15773,          0,      15773,   1.000000,                0,                0,                0,             2606,             2585,             2691,             2657,             2605,             2629
    9,      1,     351321,          0,     351321,  22.273569,                0,           336475,                0,             2269,             2471,             2580,             2532,             2465,             2529
    9,      2,     376692,          0,     376692,   1.072216,                0,           309461,            53151,             1971,             2417,             2464,             2414,             2407,             2407
    9,      3,     368765,          0,     368765,   0.978956,                0,           285091,            70355,             1702,             2322,             2339,             2335,             2313,             2308
    9,      4,     336883,          0,     336883,   0.913544,                0,           238177,            86114,             1463,             2175,             2254,             2257,             2205,             2238
    9,      5,     125628,          0,     125628,   0.372913,                0,            18400,            95538,             1201,             2061,             2112,             2121,             2079,             2116
    9,      6,      78384,          0,      78384,   0.623937,                0,                0,            67638,              974,             1922,             1969,             1963,             1937,             1981
    9,      7,      74522,          0,      74522,   0.950730,                0,                0,            64738,              745,             1816,             1795,             1822,             1769,             1837
    9,      8,      73662,          0,      73662,   0.988460,                0,                0,            64738,              562,             1712,             1633,             1710,             1635,             1672
    9,      9,      72823,          0,      72823,   0.988610,                0,                0,            64738,              379,             1610,             1483,             1554,             1539,             1520
    9,     10,      72184,          0,      72184,   0.991225,                0,                0,            64738,              242,             1490,             1389,             1444,             1489,             1392
    9,     11,      70409,          0,      70409,   0.975410,                0,                0,            63503,              112,             1417,             1325,             1338,             1402,             1312
    9,     12,      69985,          0,      69985,   0.993978,                0,                0,            42724,            20779,             1343,             1283,             1259,             1335,             1262
    9,     13,     225404,          0,     225404,   3.220747,                0,           156690,            24026,            38589,             1174,             1243,             1204,             1281,             1197
    9,     14,     235408,          0,     235408,   1.044383,                0,           144094,            31830,            53751,             1015,             1221,             1129,             1209,             1159
    9,     15,     229221,          0,     229221,   0.973718,                0,           132238,            32723,            58846,              876,             1178,             1088,             1151,             1121
    9,     16,     207122,          0,     207122,   0.903591,                0,           106138,            40029,            55875,              746,             1111,             1042,             1113,             1068
    9,     17,     100703,          0,     100703,   0.486201,                0,                0,            43264,            52771,              590,             1055,              978,             1045,             1000
    9,     18,      79913,          0,      79913,   0.793551,                0,                0,            26400,            49252,              482,              972,              905,              966,              936
    9,     19,      76130,          0,      76130,   0.952661,                0,                0,            26400,            45881,              368,              902,              842,              876,              861
    9,     20,      72568,          0,      72568,   0.953212,                0,                0,            26400,            42672,              277,              846,              759,              809,              805
    9,     21,      69274,          0,      69274,   0.954608,                0,                0,            26400,            39705,              181,              794,              695,              726,              773
