"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2"
    9,      0,      15773,          0,      15773,   1.000000,                0,             5191,            10582
    9,     12,      69985,          0,      69985,   4.437013,            42724,            22122,             5139
    9,     24,      61220,          0,      61220,   0.874759,            16011,            42766,             2443
    9,     36,      43200,          0,      43200,   0.705652,             7956,            29121,             6123
    9,     48,      30938,          0,      30938,   0.716157,             5941,            14426,            10571
    9,     60,      32278,          0,      32278,   1.043312,            11299,            12880,             8099
    9,     72,      39401,          0,      39401,   1.220677,            14685,            18832,             5884
    9,     84,      43787,          0,      43787,   1.111317,            16036,            23046,             4705
    9,     96,      37734,          0,      37734,   0.861763,             9662,            22800,             5272
    9,    108,      30405,          0,      30405,   0.805772,             7279,            16899,             6227
    9,    120,      28975,          0,      28975,   0.952968,             9396,            13194,             6385
    9,    132,      31464,          0,      31464,   1.085902,            10783,            15451,             5230
    9,    144,      32636,          0,      32636,   1.037249,            10981,            17296,             4359
    9,    156,      29658,          0,      29658,   0.908751,             8481,            16575,             4602
    9,    168,      27419,          0,      27419,   0.924506,             7887,            14618,             4914
    9,    180,      26345,          0,      26345,   0.960830,             7903,            13483,             4959
    9,    192,      27552,          0,      27552,   1.045815,             8887,            14014,             4651
    9,    204,      29133,          0,      29133,   1.057382,             9611,            15124,             4398
    9,    216,      28749,          0,      28749,   0.986819,             9218,            15095,             4436
    9,    228,      27378,          0,      27378,   0.952311,             8025,            14864,             4489
    9,    240,      26406,          0,      26406,   0.964497,             8041,            13861,             4504
    9,    252,      24680,          0,      24680,   0.934636,             6962,            13320,             4398
    9,    264,      25523,          0,      25523,   1.034157,             8337,            12934,             4252
    9,    276,      25751,          0,      25751,   1.008933,             8147,            13577,             4027
    9,    288,      25010,          0,      25010,   0.971224,             7601,            13470,             3939
    9,    300,      25006,          0,      25006,   0.999840,             7995,            12908,             4103
    9,    312,      24851,          0,      24851,   0.993801,             7700,            12944,             4207
    9,    324,      25408,          0,      25408,   1.022414,             8198,            13129,             4081
    9,    336,      25583,          0,      25583,   1.006888,             8092,            13361,             4130
    9,    348,      26470,          0,      26470,   1.034671,             8502,            13742,             4226
    9,    360,      26970,          0,      26970,   1.018889,             8512,            14234,             4224
    9,    372,      26824,          0,      26824,   0.994587,             8262,            14087,             4475
    9,    384,      27370,          0,      27370,   1.020355,             8791,            14002,             4577
    9,    396,      27769,          0,      27769,   1.014578,             8936,            14255,             4578
    9,    408,      28756,          0,      28756,   1.035543,             9280,            14998,             4478
    9,    420,      29094,          0,      29094,   1.011754,             9039,            15474,             4581
    9,    432,      29216,          0,      29216,   1.004193,             9309,            15168,             4739
    9,    444,      29060,          0,      29060,   0.994660,             8884,            15273,             4903
    9,    456,      29905,          0,      29905,   1.029078,             9381,            15560,             4964
    9,    468,      31091,          0,      31091,   1.039659,            10152,            15852,             5087
    9,    480,      31592,          0,      31592,   1.016114,             9815,            16611,             5166
    9,    492,      32841,          0,      32841,   1.039535,            10504,            17074,             5263
