"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2"
   10,      0,      15773,          0,      15773,   1.000000,                0,             5137,            10636
   10,     12,      70215,          0,      70215,   4.451594,            43172,            21923,             5120
   10,     24,      61932,          0,      61932,   0.882034,            16490,            43037,             2405
   10,     36,      44226,          0,      44226,   0.714106,             8295,            30001,             5930
   10,     48,      31187,          0,      31187,   0.705173,             5990,            14492,            10705
   10,     60,      33074,          0,      33074,   1.060506,            11359,            13307,             8408
   10,     72,      41310,          0,      41310,   1.249017,            15814,            19456,             6040
   10,     84,      46540,          0,      46540,   1.126604,            17104,            24566,             4870
   10,     96,      40334,          0,      40334,   0.866652,            10202,            24538,             5594
   10,    108,      32774,          0,      32774,   0.812565,             7864,            18216,             6694
   10,    120,      31167,          0,      31167,   0.950967,             9837,            14502,             6828
   10,    132,      33215,          0,      33215,   1.065711,            11280,            16273,             5662
   10,    144,      33993,          0,      33993,   1.023423,            11240,            18015,             4738
   10,    156,      31623,          0,      31623,   0.930280,             9325,            17408,             4890
   10,    168,      29846,          0,      29846,   0.943807,             8638,            15921,             5287
   10,    180,      28504,          0,      28504,   0.955036,             8338,            14934,             5232
   10,    192,      29186,          0,      29186,   1.023926,             9338,            14797,             5051
   10,    204,      30957,          0,      30957,   1.060680,            10274,            15781,             4902
   10,    216,      30626,          0,      30626,   0.989308,             9781,            16220,             4625
   10,    228,      28962,          0,      28962,   0.945667,             8477,            15676,             4809
   10,    240,      28279,          0,      28279,   0.976417,             8740,            14762,             4777
   10,    252,      26802,          0,      26802,   0.947770,             7485,            14583,             4734
   10,    264,      27634,          0,      27634,   1.031042,             9023,            13960,             4651
   10,    276,      28434,          0,      28434,   1.028950,             9215,            14681,             4538
   10,    288,      28155,          0,      28155,   0.990188,             9042,            14827,             4286
   10,    300,      27894,          0,      27894,   0.990730,             8624,            14766,             4504
   10,    312,      27676,          0,      27676,   0.992185,             8636,            14489,             4551
   10,    324,      27926,          0,      27926,   1.009033,             8840,            14395,             4691
   10,    336,      27963,          0,      27963,   1.001325,             8830,            14491,             4642
   10,    348,      28578,          0,      28578,   1.021993,             9151,            14812,             4615
   10,    360,      29213,          0,      29213,   1.022220,             9250,            15309,             4654
   10,    372,      29115,          0,      29115,   0.996645,             9035,            15320,             4760
   10,    384,      29000,          0,      29000,   0.996050,             8772,            15346,             4882
   10,    396,      30059,          0,      30059,   1.036517,             9620,            15410,             5029
   10,    408,      30895,          0,      30895,   1.027812,             9844,            16060,             4991
   10,    420,      31237,          0,      31237,   1.011070,             9904,            16309,             5024
   10,    432,      31883,          0,      31883,   1.020681,            10075,            16551,             5257
   10,    444,      32613,          0,      32613,   1.022896,            10311,            17045,             5257
   10,    456,      33650,          0,      33650,   1.031797,            10597,            17602,             5451
   10,    468,      34096,          0,      34096,   1.013254,            10602,            17872,             5622
   10,    480,      34958,          0,      34958,   1.025282,            11177,            18039,             5742
   10,    492,      35588,          0,      35588,   1.018022,            11220,            18645,             5723
