"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3"
    1,      0,       2217,          0,       2217,   1.000000,             2217,                0,                0,                0
    1,      1,       2217,          0,       2217,   1.000000,             1885,                4,              328,                0
    1,      2,       2217,          0,       2217,   1.000000,             1853,                4,              360,                0
    1,      3,       2217,          0,       2217,   1.000000,             1838,               12,              367,                0
    1,      4,       2217,          0,       2217,   1.000000,             1815,               18,              384,                0
    1,      5,       2217,          0,       2217,   1.000000,             1805,               22,              390,                0
    1,      6,       2217,          0,       2217,   1.000000,             1806,               19,              392,                0
    1,      7,       2217,          0,       2217,   1.000000,             1812,               20,              385,                0
    1,      8,       2217,          0,       2217,   1.000000,             1814,               20,              383,                0
    1,      9,       2217,          0,       2217,   1.000000,             1821,               17,              379,                0
    1,     10,       2217,          0,       2217,   1.000000,             1821,               21,              375,                0
    1,     11,       2217,          0,       2217,   1.000000,             1805,               24,              388,                0
    1,     12,       2217,          0,       2217,   1.000000,             1788,               29,              400,                0
    1,     13,       2217,          0,       2217,   1.000000,             1769,               28,              420,                0
    1,     14,       2217,          0,       2217,   1.000000,             1761,               28,              428,                0
    1,     15,       2217,          0,       2217,   1.000000,             1734,               34,              449,                0
    1,     16,       2217,          0,       2217,   1.000000,             1719,               40,              458,                0
    1,     17,       2217,          0,       2217,   1.000000,             1720,               39,              458,                0
    1,     18,       2217,          0,       2217,   1.000000,             1722,               38,              457,                0
    1,     19,       2217,          0,       2217,   1.000000,             1726,               37,              454,                0
    1,     20,       2217,          0,       2217,   1.000000,             1728,               35,              454,                0
    1,     21,       2217,          0,       2217,   1.000000,             1729,               35,              453,                0
    1,     22,       2217,          0,       2217,   1.000000,             1736,               33,              448,                0
    1,     23,       2217,          0,       2217,   1.000000,             1733,               34,              450,                0
    1,     24,       2217,          0,       2217,   1.000000,             1714,               33,              470,                0
    1,     25,       2217,          0,       2217,   1.000000,             1706,               35,              476,                0
    1,     26,       2217,          0,       2217,   1.000000,             1694,               34,              489,                0
    1,     27,       2217,          0,       2217,   1.000000,             1654,               62,              501,                0
    1,     28,       2217,          0,       2217,   1.000000,             1647,               63,              506,                1
    1,     29,       2217,          0,       2217,   1.000000,             1647,               66,              503,                1
    1,     30,       2217,          0,       2217,   1.000000,             1656,               62,              498,                1
    1,     31,       2217,          0,       2217,   1.000000,             1662,               60,              494,                1
    1,     32,       2217,          0,       2217,   1.000000,             1664,               62,              490,                1
    1,     33,       2217,          0,       2217,   1.000000,             1671,               57,              488,                1
    1,     34,       2217,          0,       2217,   1.000000,             1678,               54,              484,                1
    1,     35,       2217,          0,       2217,   1.000000,             1674,               54,              488,                1
    1,     36,       2217,          0,       2217,   1.000000,             1657,               58,              500,                2
