"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5"
    1,      0,      15773,          0,      15773,   1.000000,            15773,                0,                0,                0,                0,                0
    1,      1,    5369965,          0,    5369965,  340.453003,          5369965,                0,                0,                0,                0,                0
    1,      2,    5246835,          0,    5246835,   0.977071,          5246835,                0,                0,                0,                0,                0
    1,      3,    4884690,          0,    4884690,   0.930978,          4884690,                0,                0,                0,                0,                0
    1,      4,    4156218,          0,    4156218,   0.850866,          4156218,                0,                0,                0,                0,                0
    1,      5,     644712,          0,     644712,   0.155120,           644712,                0,                0,                0,                0,                0
    1,      6,     125714,          0,     125714,   0.194992,           125714,                0,                0,                0,                0,                0
    1,      7,      78107,          0,      78107,   0.621307,            78107,                0,                0,                0,                0,                0
    1,      8,      74150,          0,      74150,   0.949339,            74150,                0,                0,                0,                0,                0
    1,      9,      73260,          0,      73260,   0.987997,            73260,                0,                0,                0,                0,                0
    1,     10,      72450,          0,      72450,   0.988944,            72450,                0,                0,                0,                0,                0
    1,     11,      71773,          0,      71773,   0.990656,            71773,                0,                0,                0,                0,                0
    1,     12,      69944,          0,      69944,   0.974517,            69944,                0,                0,                0,                0,                0
    1,     13,    2523200,          0,    2523200,  36.074574,          2523200,                0,                0,                0,                0,                0
    1,     14,    2466411,          0,    2466411,   0.977493,          2466411,                0,                0,                0,                0,                0
    1,     15,    2321572,          0,    2321572,   0.941275,          2321572,                0,                0,                0,                0,                0
    1,     16,    1900859,          0,    1900859,   0.818781,          1900859,                0,                0,                0,                0,                0
    1,     17,     204883,          0,     204883,   0.107784,           204883,                0,                0,                0,                0,                0
    1,     18,      99031,          0,      99031,   0.483354,            99031,                0,                0,                0,                0,                0
    1,     19,      78271,          0,      78271,   0.790369,            78271,                0,                0,                0,                0,                0
    1,     20,      74050,          0,      74050,   0.946072,            74050,                0,                0,                0,                0,                0
    1,     21,      70146,          0,      70146,   0.947279,            70146,                0,                0,                0,                0,                0
    1,     22,      66891,          0,      66891,   0.953597,            66891,                0,                0,                0,                0,                0
    1,     23,      63885,          0,      63885,   0.955061,            63885,                0,                0,                0,                0,                0
    1,     24,      60595,          0,      60595,   0.948501,            60595,                0,                0,                0,                0,                0
    1,     25,    1173994,          0,    1173994,  19.374437,          1173994,                0,                0,                0,                0,                0
    1,     26,    1155798,          0,    1155798,   0.984501,          1155798,                0,                0,                0,                0,                0
    1,     27,    1066278,          0,    1066278,   0.922547,          1066278,                0,                0,                0,                0,                0
    1,     28,     837166,          0,     837166,   0.785129,           837166,                0,                0,                0,                0,                0
    1,     29,     179149,          0,     179149,   0.213995,           179149,                0,                0,                0,                0,                0
    1,     30,      69050,          0,      69050,   0.385433,            69050,                0,                0,                0,                0,                0
    1,     31,      55737,          0,      55737,   0.807198,            55737,                0,                0,                0,                0,                0
    1,     32,      51783,          0,      51783,   0.929060,            51783,                0,                0,                0,                0,                0
    1,     33,      48663,          0,      48663,   0.939749,            48663,                0,                0,                0,                0,                0
    1,     34,      45992,          0,      45992,   0.945112,            45992,                0,                0,                0,                0,                0
    1,     35,      43459,          0,      43459,   0.944925,            43459,                0,                0,                0,                0,                0
    1,     36,      41303,          0,      41303,   0.950390,            41303,                0,                0,                0,                0,                0
    1,     37,     871419,          0,     871419,  21.098202,           871419,                0,                0,                0,                0,                0
    1,     38,     869659,          0,     869659,   0.997980,           869659,                0,                0,                0,                0,                0
    1,     39,     809118,          0,     809118,   0.930385,           809118,                0,                0,                0,                0,                0
    1,     40,     687328,          0,     687328,   0.849478,           687328,                0,                0,                0,                0,                0
    1,     41,      84255,          0,      84255,   0.122583,            84255,                0,                0,                0,                0,                0
    1,     42,      45850,          0,      45850,   0.544181,            45850,                0,                0,                0,                0,                0
    1,     43,      37754,          0,      37754,   0.823424,            37754,                0,                0,                0,                0,                0
    1,     44,      35415,          0,      35415,   0.938046,            35415,                0,                0,                0,                0,                0
    1,     45,      33417,          0,      33417,   0.943583,            33417,                0,                0,                0,                0,                0
    1,     46,      31601,          0,      31601,   0.945656,            31601,                0,                0,                0,                0,                0
    1,     47,      30042,          0,      30042,   0.950666,            30042,                0,                0,                0,                0,                0
    1,     48,      28261,          0,      28261,   0.940716,            28261,                0,                0,                0,                0,                0
    1,     49,    1403970,          0,    1403970,  49.678711,          1403970,                0,                0,                0,                0,                0
