"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4"
    1,      0,      15773,          0,      15773,   1.000000,            15773,                0,                0,                0,                0
    1,      1,     352370,          0,     352370,  22.340075,           342306,                0,             8355,             1709,                0
    1,      2,     374405,          0,     374405,   1.062534,           364724,                0,             2558,             7123,                0
    1,      3,     367201,          0,     367201,   0.980759,           357946,                0,             1208,             8047,                0
    1,      4,     336053,          0,     336053,   0.915175,           327180,                1,             8872,                0,                0
    1,      5,     125887,          0,     125887,   0.374605,           117566,              568,             7753,                0,                0
    1,      6,      78285,          0,      78285,   0.621867,            70513,             2693,             5079,                0,                0
    1,      7,      74285,          0,      74285,   0.948905,            67600,             6685,                0,                0,                0
    1,      8,      73395,          0,      73395,   0.988019,            69277,             4118,                0,                0,                0
    1,      9,      72579,          0,      72579,   0.988882,            68197,             4382,                0,                0,                0
    1,     10,      71876,          0,      71876,   0.990314,            66261,             5615,                0,                0,                0
    1,     11,      71383,          0,      71383,   0.993141,            66042,              468,             4873,                0,                0
    1,     12,      69587,          0,      69587,   0.974840,            64534,               11,             5042,                0,                0
    1,     13,     221716,          0,     221716,   3.186170,           216908,                0,             3916,              892,                0
    1,     14,     231421,          0,     231421,   1.043772,           226785,                0,             1082,             3554,                0
    1,     15,     227486,          0,     227486,   0.982996,           222997,                0,              936,             3553,                0
    1,     16,     204972,          0,     204972,   0.901031,           200695,                6,             4271,                0,                0
    1,     17,      99109,          0,      99109,   0.483525,            95053,              460,             3596,                0,                0
    1,     18,      78357,          0,      78357,   0.790614,            74910,             3447,                0,                0,                0
    1,     19,      74131,          0,      74131,   0.946067,            73093,             1038,                0,                0,                0
    1,     20,      70206,          0,      70206,   0.947053,            68451,             1755,                0,                0,                0
    1,     21,      66948,          0,      66948,   0.953594,            64969,             1979,                0,                0,                0
    1,     22,      63938,          0,      63938,   0.955040,            61281,             2567,               90,                0,                0
    1,     23,      61393,          0,      61393,   0.960196,            58907,              967,             1519,                0,                0
    1,     24,      58652,          0,      58652,   0.955353,            56278,                3,             2371,                0,                0
    1,     25,     126278,          0,     126278,   2.153004,           123997,                1,             2280,                0,                0
    1,     26,     130145,          0,     130145,   1.030623,           128005,                0,              555,             1585,                0
    1,     27,     125576,          0,     125576,   0.964893,           123570,                0,              468,             1538,                0
    1,     28,     111717,          0,     111717,   0.889637,           109858,                1,             1780,               78,                0
    1,     29,      69085,          0,      69085,   0.618393,            67385,              254,             1446,                0,                0
    1,     30,      55769,          0,      55769,   0.807252,            54219,             1101,              449,                0,                0
    1,     31,      51816,          0,      51816,   0.929118,            50667,             1149,                0,                0,                0
    1,     32,      48692,          0,      48692,   0.939710,            47854,              838,                0,                0,                0
    1,     33,      46019,          0,      46019,   0.945104,            45093,              926,                0,                0,                0
    1,     34,      43493,          0,      43493,   0.945110,            42520,              973,                0,                0,                0
    1,     35,      41538,          0,      41538,   0.955050,            40622,              261,              655,                0,                0
    1,     36,      39584,          0,      39584,   0.952959,            38738,                7,              839,                0,                0
    1,     37,      90321,          0,      90321,   2.281755,            85283,                0,             3465,             1573,                0
    1,     38,      93604,          0,      93604,   1.036348,            85026,                0,             1910,             6668,                0
    1,     39,      91153,          0,      91153,   0.973815,            79484,                8,             2854,             8807,                0
    1,     40,      84275,          0,      84275,   0.924544,            71785,               43,            12447,                0,                0
    1,     41,      45870,          0,      45870,   0.544290,            34157,             2030,             9683,                0,                0
    1,     42,      37771,          0,      37771,   0.823436,            26963,             9754,             1054,                0,                0
    1,     43,      35436,          0,      35436,   0.938180,            26838,             8598,                0,                0,                0
    1,     44,      33430,          0,      33430,   0.943391,            25573,             7857,                0,                0,                0
    1,     45,      31611,          0,      31611,   0.945588,            23600,             8011,                0,                0,                0
    1,     46,      30054,          0,      30054,   0.950745,            22119,             4730,             3205,                0,                0
    1,     47,      28707,          0,      28707,   0.955181,            21284,             2026,             5397,                0,                0
    1,     48,      27142,          0,      27142,   0.945484,            20131,              163,             6848,                0,                0
    1,     49,     112330,          0,     112330,   4.138604,           103646,                1,             5171,             3512,                0
    1,     50,     124921,          0,     124921,   1.112089,           114852,                0,             2513,             7556,                0
    1,     51,     127793,          0,     127793,   1.022991,           116603,                0,             2866,             8324,                0
    1,     52,     117311,          0,     117311,   0.917977,           106626,               23,             9884,              778,                0
    1,     53,      68589,          0,      68589,   0.584677,            58480,             1138,             8971,                0,                0
    1,     54,      35649,          0,      35649,   0.519748,            27051,             8596,                2,                0,                0
    1,     55,      34036,          0,      34036,   0.954753,            26907,             7129,                0,                0,                0
    1,     56,      32593,          0,      32593,   0.957604,            30559,             2034,                0,                0,                0
    1,     57,      31316,          0,      31316,   0.960820,            25764,             5552,                0,                0,                0
    1,     58,      30269,          0,      30269,   0.966567,            23437,             3086,             3746,                0,                0
    1,     59,      29332,          0,      29332,   0.969044,            22907,              435,             5990,                0,                0
    1,     60,      28088,          0,      28088,   0.957589,            21960,               41,             6087,                0,                0
    1,     61,     147147,          0,     147147,   5.238785,           140398,                7,             5158,             1584,                0
    1,     62,     162379,          0,     162379,   1.103516,           155093,                0,             1786,             5500,                0
    1,     63,     163531,          0,     163531,   1.007095,           155830,                0,             1940,             5761,                0
    1,     64,     146717,          0,     146717,   0.897182,           139296,               34,             7387,                0,                0
    1,     65,      57944,          0,      57944,   0.394937,            50966,              934,             6044,                0,                0
    1,     66,      42198,          0,      42198,   0.728255,            35976,             5153,             1069,                0,                0
    1,     67,      40654,          0,      40654,   0.963411,            35463,             5191,                0,                0,                0
    1,     68,      39107,          0,      39107,   0.961947,            35355,             3752,                0,                0,                0
    1,     69,      37792,          0,      37792,   0.966374,            33160,             4632,                0,                0,                0
    1,     70,      36718,          0,      36718,   0.971581,            31977,             2300,             2441,                0,                0
    1,     71,      35754,          0,      35754,   0.973746,            31312,             1008,             3434,                0,                0
    1,     72,      34584,          0,      34584,   0.967276,            30345,               33,             4206,                0,                0
    1,     73,     149319,          0,     149319,   4.317575,           144622,                8,             4689,                0,                0
    1,     74,     168541,          0,     168541,   1.128731,           163457,                0,             1313,             3771,                0
    1,     75,     175236,          0,     175236,   1.039723,           169874,                3,             1334,             4025,                0
    1,     76,     157917,          0,     157917,   0.901168,           152792,               25,             5100,                0,                0
    1,     77,      64213,          0,      64213,   0.406625,            59376,              610,             4227,                0,                0
    1,     78,      47339,          0,      47339,   0.737218,            43091,             4090,              158,                0,                0
    1,     79,      45328,          0,      45328,   0.957519,            44310,             1018,                0,                0,                0
    1,     80,      43586,          0,      43586,   0.961569,            40755,             2831,                0,                0,                0
    1,     81,      42065,          0,      42065,   0.965103,            39040,             3025,                0,                0,                0
    1,     82,      40623,          0,      40623,   0.965720,            37563,             3060,                0,                0,                0
    1,     83,      39399,          0,      39399,   0.969869,            36351,              843,             2205,                0,                0
    1,     84,      38151,          0,      38151,   0.968324,            35245,               14,             2892,                0,                0
    1,     85,     122838,          0,     122838,   3.219784,           119194,                5,             2529,             1110,                0
    1,     86,     122146,          0,     122146,   0.994367,           117824,                0,              993,             3329,                0
    1,     87,     112413,          0,     112413,   0.920317,           107366,                2,             1206,             3839,                0
    1,     88,      99307,          0,      99307,   0.883412,            94547,               13,             4747,                0,                0
    1,     89,      50917,          0,      50917,   0.512723,            46451,              604,             3862,                0,                0
    1,     90,      41323,          0,      41323,   0.811576,            37378,             3596,              349,                0,                0
    1,     91,      39110,          0,      39110,   0.946446,            37395,             1715,                0,                0,                0
    1,     92,      37012,          0,      37012,   0.946356,            36068,              944,                0,                0,                0
    1,     93,      35300,          0,      35300,   0.953745,            32664,             2636,                0,                0,                0
    1,     94,      33769,          0,      33769,   0.956629,            30824,             1170,             1775,                0,                0
    1,     95,      32471,          0,      32471,   0.961562,            29723,              520,             2228,                0,                0
    1,     96,      31071,          0,      31071,   0.956885,            28445,               12,             2614,                0,                0
    1,     97,      85790,          0,      85790,   2.761096,            81835,                1,             2743,             1211,                0
    1,     98,      87895,          0,      87895,   1.024537,            82744,                0,             1187,             3964,                0
    1,     99,      83127,          0,      83127,   0.945753,            76941,                0,             1530,             4656,                0
    1,    100,      75755,          0,      75755,   0.911316,            69828,               29,             5898,                0,                0
    1,    101,      39296,          0,      39296,   0.518725,            33743,              849,             4704,                0,                0
    1,    102,      31759,          0,      31759,   0.808199,            26653,             4684,              422,                0,                0
    1,    103,      29982,          0,      29982,   0.944047,            27276,             2706,                0,                0,                0
    1,    104,      28274,          0,      28274,   0.943033,            27138,             1136,                0,                0,                0
    1,    105,      26933,          0,      26933,   0.952571,            23669,             3264,                0,                0,                0
    1,    106,      25691,          0,      25691,   0.953886,            21974,             3717,                0,                0,                0
    1,    107,      24565,          0,      24565,   0.956171,            21102,             1541,             1922,                0,                0
    1,    108,      23610,          0,      23610,   0.961124,            20292,               24,             3294,                0,                0
    1,    109,      85518,          0,      85518,   3.622109,            80844,               10,             4664,                0,                0
    1,    110,      92302,          0,      92302,   1.079328,            86442,                0,             1378,             4482,                0
    1,    111,      92586,          0,      92586,   1.003077,            85541,                0,             1682,             5363,                0
    1,    112,      85236,          0,      85236,   0.920614,            78506,               21,             6709,                0,                0
    1,    113,      37573,          0,      37573,   0.440811,            31207,              700,             5666,                0,                0
    1,    114,      29200,          0,      29200,   0.777154,            23271,             4714,             1215,                0,                0
    1,    115,      27809,          0,      27809,   0.952363,            25087,             2722,                0,                0,                0
    1,    116,      26568,          0,      26568,   0.955374,            22742,             3826,                0,                0,                0
    1,    117,      25465,          0,      25465,   0.958484,            21723,             3742,                0,                0,                0
    1,    118,      24519,          0,      24519,   0.962851,            20555,             3964,                0,                0,                0
    1,    119,      23747,          0,      23747,   0.968514,            19671,             1169,             2907,                0,                0
    1,    120,      22878,          0,      22878,   0.963406,            19007,               22,             3849,                0,                0
    1,    121,      96706,          0,      96706,   4.227030,            92001,                5,             2366,             2334,                0
    1,    122,     106196,          0,     106196,   1.098132,           100768,                0,             1241,             4187,                0
