"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2"
    1,      0,      15773,          0,      15773,   1.000000,                0,             5216,            10557
    1,     12,      69476,          0,      69476,   4.404742,            42500,            21950,             5026
    1,     24,      58598,          0,      58598,   0.843428,            15788,            40435,             2375
    1,     36,      39560,          0,      39560,   0.675108,             7870,            26424,             5266
    1,     48,      27134,          0,      27134,   0.685895,             5263,            12788,             9083
    1,     60,      28085,          0,      28085,   1.035048,            10072,            10941,             7072
    1,     72,      34582,          0,      34582,   1.231333,            13590,            16088,             4904
    1,     84,      37939,          0,      37939,   1.097074,            14175,            19960,             3804
    1,     96,      30983,          0,      30983,   0.816653,             8058,            18780,             4145
    1,    108,      23574,          0,      23574,   0.760869,             5691,            13026,             4857
    1,    120,      22839,          0,      22839,   0.968822,             7737,            10193,             4909
    1,    132,      23326,          0,      23326,   1.021323,             7957,            11546,             3823
    1,    144,      23504,          0,      23504,   1.007631,             8077,            12294,             3133
    1,    156,      20929,          0,      20929,   0.890444,             6249,            11510,             3170
    1,    168,      18672,          0,      18672,   0.892159,             5500,             9922,             3250
    1,    180,      17002,          0,      17002,   0.910561,             5318,             8588,             3096
    1,    192,      17039,          0,      17039,   1.002176,             5657,             8546,             2836
    1,    204,      16904,          0,      16904,   0.992077,             5558,             8830,             2516
    1,    216,      15959,          0,      15959,   0.944096,             5101,             8438,             2420
    1,    228,      14823,          0,      14823,   0.928818,             4390,             8044,             2389
    1,    240,      13563,          0,      13563,   0.914997,             4263,             6972,             2328
    1,    252,      12371,          0,      12371,   0.912114,             3475,             6673,             2223
