"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2"
    7,      0,      15773,          0,      15773,   1.000000,                0,             5244,            10529
    7,     12,      69769,          0,      69769,   4.423318,            42649,            22096,             5024
    7,     24,      60136,          0,      60136,   0.861930,            15402,            42459,             2275
    7,     36,      41690,          0,      41690,   0.693262,             7233,            28461,             5996
    7,     48,      29352,          0,      29352,   0.704054,             5460,            13357,            10535
    7,     60,      31940,          0,      31940,   1.088171,            11376,            12512,             8052
    7,     72,      40153,          0,      40153,   1.257138,            15477,            19067,             5609
    7,     84,      44794,          0,      44794,   1.115583,            16007,            24217,             4570
    7,     96,      37833,          0,      37833,   0.844600,             9308,            23128,             5397
    7,    108,      29990,          0,      29990,   0.792694,             6685,            16815,             6490
    7,    120,      29458,          0,      29458,   0.982261,             9672,            13204,             6582
    7,    132,      32386,          0,      32386,   1.099396,            11367,            15791,             5228
    7,    144,      32672,          0,      32672,   1.008831,            10601,            17707,             4364
    7,    156,      29424,          0,      29424,   0.900588,             8285,            16350,             4789
    7,    168,      27478,          0,      27478,   0.933864,             7972,            14493,             5013
    7,    180,      26279,          0,      26279,   0.956365,             7843,            13569,             4867
    7,    192,      27674,          0,      27674,   1.053084,             9185,            13884,             4605
    7,    204,      28623,          0,      28623,   1.034292,             9376,            14867,             4380
    7,    216,      28161,          0,      28161,   0.983859,             8887,            14946,             4328
    7,    228,      26398,          0,      26398,   0.937396,             7640,            14318,             4440
    7,    240,      25987,          0,      25987,   0.984431,             8081,            13421,             4485
    7,    252,      24802,          0,      24802,   0.954400,             7153,            13384,             4265
    7,    264,      25388,          0,      25388,   1.023627,             8223,            12953,             4212
    7,    276,      25945,          0,      25945,   1.021940,             8408,            13392,             4145
    7,    288,      25530,          0,      25530,   0.984005,             7958,            13569,             4003
    7,    300,      25445,          0,      25445,   0.996671,             8055,            13222,             4168
    7,    312,      25038,          0,      25038,   0.984005,             7663,            13091,             4284
    7,    324,      25925,          0,      25925,   1.035426,             8522,            13076,             4327
    7,    336,      26564,          0,      26564,   1.024648,             8620,            13705,             4239
    7,    348,      26561,          0,      26561,   0.999887,             8318,            14099,             4144
    7,    360,      26680,          0,      26680,   1.004480,             8282,            14100,             4298
    7,    372,      26392,          0,      26392,   0.989205,             8165,            13759,             4468
    7,    384,      27011,          0,      27011,   1.023454,             8706,            13814,             4491
    7,    396,      27370,          0,      27370,   1.013291,             8655,            14305,             4410
    7,    408,      28293,          0,      28293,   1.033723,             9091,            14674,             4528
    7,    420,      28975,          0,      28975,   1.024105,             9420,            15003,             4552
    7,    432,      29257,          0,      29257,   1.009732,             9242,            15290,             4725
    7,    444,      29546,          0,      29546,   1.009878,             9251,            15392,             4903
    7,    456,      30172,          0,      30172,   1.021187,             9521,            15665,             4986
    7,    468,      31190,          0,      31190,   1.033740,             9986,            16240,             4964
    7,    480,      31889,          0,      31889,   1.022411,            10136,            16649,             5104
    7,    492,      32383,          0,      32383,   1.015491,            10177,            16826,             5380
