"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2"
    2,      0,      15773,          0,      15773,   1.000000,                0,             5241,            10532
    2,     12,      68580,          0,      68580,   4.347936,            41808,            21702,             5070
    2,     24,      59471,          0,      59471,   0.867177,            15538,            41590,             2343
    2,     36,      42362,          0,      42362,   0.712314,             7823,            28558,             5981
    2,     48,      30041,          0,      30041,   0.709150,             5815,            13860,            10366
    2,     60,      31981,          0,      31981,   1.064578,            11317,            12637,             8027
    2,     72,      39091,          0,      39091,   1.222319,            14549,            18794,             5748
    2,     84,      43917,          0,      43917,   1.123456,            16085,            23107,             4725
    2,     96,      37687,          0,      37687,   0.858141,             9362,            22963,             5362
    2,    108,      30579,          0,      30579,   0.811394,             7297,            16968,             6314
    2,    120,      29885,          0,      29885,   0.977305,             9783,            13701,             6401
    2,    132,      31419,          0,      31419,   1.051330,            10575,            15530,             5314
    2,    144,      31951,          0,      31951,   1.016932,            10593,            16920,             4438
    2,    156,      29791,          0,      29791,   0.932396,             8792,            16337,             4662
    2,    168,      27946,          0,      27946,   0.938069,             8105,            15001,             4840
    2,    180,      26717,          0,      26717,   0.956022,             7875,            13963,             4879
    2,    192,      27696,          0,      27696,   1.036643,             9104,            13882,             4710
    2,    204,      28980,          0,      28980,   1.046360,             9525,            14872,             4583
    2,    216,      29110,          0,      29110,   1.004486,             9375,            15400,             4335
    2,    228,      27509,          0,      27509,   0.945002,             7839,            15162,             4508
    2,    240,      26671,          0,      26671,   0.969537,             8282,            13787,             4602
    2,    252,      24987,          0,      24987,   0.936860,             7049,            13511,             4427
    2,    264,      25892,          0,      25892,   1.036219,             8377,            13218,             4297
    2,    276,      26749,          0,      26749,   1.033099,             8586,            13927,             4236
    2,    288,      26289,          0,      26289,   0.982803,             8316,            13929,             4044
    2,    300,      25855,          0,      25855,   0.983491,             7794,            13765,             4296
    2,    312,      26151,          0,      26151,   1.011449,             8500,            13244,             4407
    2,    324,      26687,          0,      26687,   1.020496,             8421,            13868,             4398
    2,    336,      27556,          0,      27556,   1.032563,             9030,            14223,             4303
    2,    348,      27420,          0,      27420,   0.995065,             8365,            14566,             4489
    2,    360,      27647,          0,      27647,   1.008279,             8654,            14400,             4593
    2,    372,      27703,          0,      27703,   1.002025,             8782,            14219,             4702
    2,    384,      29231,          0,      29231,   1.055156,             9559,            15071,             4601
    2,    396,      29904,          0,      29904,   1.023023,             9406,            15761,             4737
    2,    408,      30396,          0,      30396,   1.016453,             9665,            15800,             4931
    2,    420,      30947,          0,      30947,   1.018127,             9706,            16110,             5131
    2,    432,      31651,          0,      31651,   1.022749,            10014,            16458,             5179
    2,    444,      32512,          0,      32512,   1.027203,            10327,            17000,             5185
    2,    456,      33545,          0,      33545,   1.031773,            10644,            17598,             5303
    2,    468,      33880,          0,      33880,   1.009987,            10549,            17778,             5553
    2,    480,      35147,          0,      35147,   1.037397,            11331,            18144,             5672
    2,    492,      36181,          0,      36181,   1.029419,            11468,            18948,             5765
