"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5","Trait Index  6"
    1,      0,         10,          0,         10,   1.000000,               10,                0,                0,                0,                0,                0,                0
    1,      2,        135,          0,        135,  13.500000,                0,                0,                0,              128,                0,                0,                7
    1,     14,        411,          0,        411,   3.044445,                0,                0,                0,              389,                0,                0,               22
    1,     26,       1000,          0,       1000,   2.433090,                0,                0,                0,              941,                0,                0,               59
    1,     38,       1919,          0,       1919,   1.919000,                0,                0,                0,             1819,                0,                0,              100
    1,     50,       3517,          0,       3517,   1.832725,                0,                0,                0,             3316,                0,                0,              201
    1,     62,       6625,          0,       6625,   1.883708,                0,                0,                0,             6250,                0,                0,              375
    1,     74,      12557,          0,      12557,   1.895396,                0,                0,                0,            11854,                0,                0,              703
    1,     86,      24989,          0,      24989,   1.990045,                0,                0,                0,            23579,                0,                0,             1410
    1,     98,      48700,          0,      48700,   1.948858,                0,                0,                0,            45951,                0,                0,             2749
    1,    110,      91705,          0,      91705,   1.883060,                0,                0,                0,            86498,                0,                0,             5207
    1,    122,     176417,          0,     176417,   1.923745,                0,                0,                0,           166400,                0,                0,            10017
    1,    134,     337904,          0,     337904,   1.915371,                0,                0,                0,           318679,                0,                0,            19225
    1,    146,     635902,          0,     635902,   1.881901,                0,                0,                0,           599637,                0,                0,            36265
    1,    158,    1238720,          0,    1238720,   1.947973,                0,                0,                0,          1167912,                0,                0,            70808
    1,    170,    2440938,          0,    2440938,   1.970533,                0,                0,                0,          2299808,                0,                0,           141130
    1,    182,    4620080,          0,    4620080,   1.892748,                0,                0,                0,          4349720,                0,                0,           270360
    1,    194,    9017026,          0,    9017026,   1.951703,                0,                0,                0,          8473832,                0,                0,           543194
    1,    206,   17007735,          0,   17007735,   1.886180,                0,                0,                0,         15936508,                0,                0,          1071227
    1,    218,   29741942,          0,   29741942,   1.748730,                0,                0,                0,         27753881,                0,                0,          1988061
    1,    230,   48085523,          0,   48085523,   1.616758,                0,                0,                0,         44563571,                0,                0,          3521952
    1,    242,   71507552,          0,   71507552,   1.487091,                0,                0,                0,         65551319,                0,                0,          5956233
    1,    254,   95530882,          0,   95530882,   1.335955,                0,                0,                0,         86152680,                0,                0,          9378202
    1,    266,  121944699,          0,  121944699,   1.276495,                0,                0,                0,        107947039,                0,                0,         13997660
    1,    278,  145805941,          0,  145805941,   1.195673,                0,                0,                0,        127508853,                0,                0,         18297088
    1,    290,  164053789,          0,  164053789,   1.125152,                0,                0,                0,        141974391,                0,                0,         22079398
    1,    302,  178971564,          0,  178971564,   1.090932,                0,                0,                0,        152387856,                0,                0,         26583708
