"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5","Trait Index  6","Trait Index  7","Trait Index  8"
    4,      0,      15773,          0,      15773,   1.000000,                0,                0,                0,             2634,             2580,             2621,             2706,             2555,             2677
    4,      1,     348551,          0,     348551,  22.097952,                0,           333687,                0,             2305,             2493,             2508,             2569,             2469,             2520
    4,      2,     374355,          0,     374355,   1.074032,                0,           307165,            53130,             2010,             2375,             2424,             2459,             2366,             2426
    4,      3,     363761,          0,     363761,   0.971701,                0,           280803,            69664,             1714,             2302,             2333,             2351,             2279,             2315
    4,      4,     332835,          0,     332835,   0.914983,                0,           235240,            85026,             1438,             2204,             2246,             2263,             2179,             2239
    4,      5,     124188,          0,     124188,   0.373122,                0,            17860,            94669,             1196,             2050,             2132,             2114,             2058,             2109
    4,      6,      77645,          0,      77645,   0.625221,                0,                0,            66856,              954,             1925,             2017,             1988,             1941,             1964
    4,      7,      73815,          0,      73815,   0.950673,                0,                0,            63944,              731,             1795,             1866,             1812,             1823,             1844
    4,      8,      72899,          0,      72899,   0.987591,                0,                0,            63944,              546,             1657,             1702,             1654,             1659,             1737
    4,      9,      72138,          0,      72138,   0.989561,                0,                0,            63944,              391,             1555,             1598,             1517,             1547,             1586
    4,     10,      71375,          0,      71375,   0.989423,                0,                0,            63944,              249,             1444,             1469,             1406,             1424,             1439
    4,     11,      69542,          0,      69542,   0.974319,                0,                0,            62649,              110,             1395,             1367,             1336,             1365,             1320
    4,     12,      69078,          0,      69078,   0.993328,                0,                0,            41890,            20759,             1317,             1295,             1265,             1317,             1235
    4,     13,     220150,          0,     220150,   3.186977,                0,           152311,            23492,            38270,             1153,             1252,             1221,             1273,             1178
    4,     14,     232872,          0,     232872,   1.057788,                0,           142772,            31096,            53263,             1022,             1182,             1167,             1226,             1144
    4,     15,     227412,          0,     227412,   0.976554,                0,           131646,            32264,            58064,              872,             1156,             1125,             1177,             1108
    4,     16,     206066,          0,     206066,   0.906135,                0,           106128,            39551,            55304,              718,             1097,             1096,             1106,             1066
    4,     17,      99728,          0,      99728,   0.483961,                0,                0,            42945,            52110,              588,             1029,             1042,             1021,              993
    4,     18,      79066,          0,      79066,   0.792816,                0,                0,            26150,            48626,              465,              967,              980,              940,              938
    4,     19,      75238,          0,      75238,   0.951585,                0,                0,            26150,            45211,              364,              897,              903,              839,              874
    4,     20,      71593,          0,      71593,   0.951554,                0,                0,            26150,            41975,              288,              810,              820,              759,              791
    4,     21,      68375,          0,      68375,   0.955051,                0,                0,            26150,            39100,              199,              743,              760,              690,              733
    4,     22,      65645,          0,      65645,   0.960073,                0,                0,            26150,            36637,              138,              686,              696,              659,              679
    4,     23,      62466,          0,      62466,   0.951573,                0,                0,            25467,            34369,               62,              660,              649,              604,              655
    4,     24,      60601,          0,      60601,   0.970144,                0,                0,            16146,            31749,            10251,              632,              620,              564,              639
    4,     25,     128637,          0,     128637,   2.122688,                0,            70064,             7551,            29852,            18886,              545,              594,              546,              599
    4,     26,     131064,          0,     131064,   1.018867,                0,            63589,            11055,            27934,            26358,              478,              553,              521,              576
    4,     27,     128062,          0,     128062,   0.977095,                0,            59648,            14408,            23316,            28695,              404,              538,              498,              555
    4,     28,     116083,          0,     116083,   0.906459,                0,            46571,            17917,            22276,            27463,              338,              516,              489,              513
    4,     29,      72206,          0,      72206,   0.622020,                0,             4182,            19268,            21023,            26036,              272,              478,              481,              466
    4,     30,      58685,          0,      58685,   0.812744,                0,                0,            13025,            19670,            24435,              224,              439,              457,              435
    4,     31,      54759,          0,      54759,   0.933100,                0,                0,            12437,            18279,            22656,              183,              396,              419,              389
    4,     32,      51671,          0,      51671,   0.943607,                0,                0,            12437,            16939,            21034,              141,              372,              386,              362
    4,     33,      48952,          0,      48952,   0.947379,                0,                0,            12437,            15802,            19573,               98,              347,              355,              340
    4,     34,      46553,          0,      46553,   0.950993,                0,                0,            12437,            14814,            18275,               62,              318,              323,              324
    4,     35,      44385,          0,      44385,   0.953429,                0,                0,            12206,            13970,            17277,               24,              315,              306,              287
    4,     36,      42697,          0,      42697,   0.961969,                0,                0,             7885,            12969,            15919,             5095,              289,              279,              261
    4,     37,      96339,          0,      96339,   2.256341,                0,            55233,             4100,            11831,            15000,             9408,              256,              263,              248
    4,     38,      99095,          0,      99095,   1.028607,                0,            50730,             9297,            11133,            14038,            13189,              226,              249,              233
    4,     39,      94632,          0,      94632,   0.954962,                0,            45256,            11344,            11247,            11733,            14383,              192,              246,              231
