"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1"
    4,    392,      36078,          0,      36078,   0.946979,            36078,                0
    4,    393,      34523,          0,      34523,   0.956899,            34523,                0
    4,    394,      33222,          0,      33222,   0.962315,            33222,                0
    4,    395,      32125,          0,      32125,   0.966980,            32125,                0
    4,    396,      31071,          0,      31071,   0.967191,            31071,                0
    4,    397,      30307,          0,      30307,   0.975411,            28330,             1977
    4,    398,     114000,          0,     114000,   3.761507,           112177,             1823
    4,    399,     122901,          0,     122901,   1.078079,           121244,             1657
    4,    400,     122531,          0,     122531,   0.996989,           121189,             1342
    4,    401,     112587,          0,     112587,   0.918845,           112562,               25
    4,    402,      51453,          0,      51453,   0.457007,            51453,                0
    4,    403,      38925,          0,      38925,   0.756516,            38925,                0
    4,    404,      37019,          0,      37019,   0.951034,            37019,                0
    4,    405,      35490,          0,      35490,   0.958697,            35490,                0
    4,    406,      34140,          0,      34140,   0.961961,            34140,                0
    4,    407,      32926,          0,      32926,   0.964441,            32926,                0
    4,    408,      31808,          0,      31808,   0.966045,            31808,                0
    4,    409,      30965,          0,      30965,   0.973497,            28948,             2017
    4,    410,     116351,          0,     116351,   3.757500,           114494,             1857
    4,    411,     125145,          0,     125145,   1.075582,           123465,             1680
    4,    412,     124274,          0,     124274,   0.993040,           122921,             1353
    4,    413,     112885,          0,     112885,   0.908356,           112868,               17
    4,    414,      51945,          0,      51945,   0.460159,            51945,                0
    4,    415,      39584,          0,      39584,   0.762037,            39584,                0
    4,    416,      37761,          0,      37761,   0.953946,            37761,                0
    4,    417,      36123,          0,      36123,   0.956622,            36123,                0
    4,    418,      34706,          0,      34706,   0.960773,            34706,                0
    4,    419,      33499,          0,      33499,   0.965222,            33499,                0
    4,    420,      32409,          0,      32409,   0.967462,            32409,                0
    4,    421,      31562,          0,      31562,   0.973865,            29570,             1992
    4,    422,     116112,          0,     116112,   3.678854,           114276,             1836
    4,    423,     123722,          0,     123722,   1.065540,           122053,             1669
    4,    424,     123412,          0,     123412,   0.997494,           122034,             1378
    4,    425,     114574,          0,     114574,   0.928386,           114550,               24
    4,    426,      52545,          0,      52545,   0.458612,            52545,                0
    4,    427,      39809,          0,      39809,   0.757617,            39809,                0
    4,    428,      37884,          0,      37884,   0.951644,            37884,                0
    4,    429,      36292,          0,      36292,   0.957977,            36292,                0
    4,    430,      34870,          0,      34870,   0.960818,            34870,                0
    4,    431,      33665,          0,      33665,   0.965443,            33665,                0
    4,    432,      32444,          0,      32444,   0.963731,            32444,                0
    4,    433,      31606,          0,      31606,   0.974171,            29550,             2056
    4,    434,     118300,          0,     118300,   3.742960,           116400,             1900
    4,    435,     127736,          0,     127736,   1.079763,           126044,             1692
    4,    436,     124824,          0,     124824,   0.977203,           123443,             1381
    4,    437,     114945,          0,     114945,   0.920857,           114914,               31
    4,    438,      53145,          0,      53145,   0.462352,            53145,                0
    4,    439,      40065,          0,      40065,   0.753881,            40065,                0
    4,    440,      38114,          0,      38114,   0.951304,            38114,                0
    4,    441,      36453,          0,      36453,   0.956420,            36453,                0
    4,    442,      35091,          0,      35091,   0.962637,            35091,                0
    4,    443,      33918,          0,      33918,   0.966573,            33918,                0
    4,    444,      32792,          0,      32792,   0.966802,            32792,                0
    4,    445,      31915,          0,      31915,   0.973256,            29777,             2138
    4,    446,     122489,          0,     122489,   3.837976,           120506,             1983
    4,    447,     130994,          0,     130994,   1.069435,           129197,             1797
    4,    448,     129930,          0,     129930,   0.991877,           128480,             1450
    4,    449,     118185,          0,     118185,   0.909605,           118161,               24
    4,    450,      54198,          0,      54198,   0.458586,            54198,                0
    4,    451,      41026,          0,      41026,   0.756965,            41026,                0
