"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3"
    1,      0,         10,          0,         10,   1.000000,                0,                6,                4,                0
    1,     12,         56,          0,         56,   5.600000,               46,                0,                6,                4
    1,     24,         97,          0,         97,   1.732143,               71,               24,                0,                2
    1,     36,        173,          0,        173,   1.783505,              122,               41,               10,                0
    1,     48,        397,          0,        397,   2.294798,              316,               62,               19,                0
    1,     60,        693,          0,        693,   1.745592,              502,              161,               30,                0
    1,     72,       1436,          0,       1436,   2.072150,             1113,              262,               60,                1
    1,     84,       2546,          0,       2546,   1.772980,             1861,              576,              107,                2
    1,     96,       5190,          0,       5190,   2.038492,             3937,             1030,              221,                2
    1,    108,       9811,          0,       9811,   1.890366,             7336,             2077,              395,                3
    1,    120,      19329,          0,      19329,   1.970136,            14677,             3831,              812,                9
    1,    132,      36179,          0,      36179,   1.871747,            26893,             7778,             1502,                6
    1,    144,      69461,          0,      69461,   1.919926,            52346,            14140,             2948,               27
    1,    156,     135533,          0,     135533,   1.951210,           101948,            28040,             5491,               54
    1,    168,     266476,          0,     266476,   1.966134,           200124,            55367,            10879,              106
    1,    180,     512018,          0,     512018,   1.921441,           383085,           107503,            21235,              195
    1,    192,    1052506,          0,    1052506,   2.055604,           796415,           212798,            42874,              419
    1,    204,    2070146,          0,    2070146,   1.966873,          1548171,           438124,            83010,              841
    1,    216,    3841498,          0,    3841498,   1.855665,          2836386,           835849,           167757,             1506
    1,    228,    7091627,          0,    7091627,   1.846058,          5238600,          1529173,           320826,             3028
    1,    240,   12101464,          0,   12101464,   1.706444,          8711479,          2802960,           581222,             5803
    1,    252,   20660594,          0,   20660594,   1.707281,         14835224,          4733029,          1081708,            10633
    1,    264,   32107638,          0,   32107638,   1.554052,         22102261,          8139936,          1845216,            20225
    1,    276,   43984542,          0,   43984542,   1.369909,         28821443,         12001016,          3128209,            33874
    1,    288,   55313333,          0,   55313333,   1.257563,         35184136,         15474666,          4596884,            57647
    1,    300,   67468170,          0,   67468170,   1.219745,         41619469,         19636513,          6124244,            87944
