"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3"
    1,      0,         10,          0,         10,   1.000000,                0,                8,                2,                0
    1,     12,         37,          0,         37,   3.700000,               27,                0,                8,                2
    1,     24,         53,          0,         53,   1.432432,               35,               16,                0,                2
    1,     36,         81,          0,         81,   1.528302,               60,               19,                2,                0
    1,     48,        176,          0,        176,   2.172839,              134,               34,                8,                0
    1,     60,        290,          0,        290,   1.647727,              213,               67,               10,                0
    1,     72,        580,          0,        580,   2.000000,              441,              115,               24,                0
    1,     84,       1101,          0,       1101,   1.898276,              828,              236,               37,                0
    1,     96,       2201,          0,       2201,   1.999092,             1627,              467,              106,                1
    1,    108,       4366,          0,       4366,   1.983644,             3327,              890,              147,                2
    1,    120,       8123,          0,       8123,   1.860513,             6075,             1705,              340,                3
    1,    132,      15871,          0,      15871,   1.953835,            11948,             3286,              624,               13
    1,    144,      29721,          0,      29721,   1.872661,            22140,             6302,             1265,               14
    1,    156,      58638,          0,      58638,   1.972948,            44402,            11843,             2369,               24
    1,    168,     114666,          0,     114666,   1.955490,            85923,            24104,             4594,               45
    1,    180,     222413,          0,     222413,   1.939659,           167127,            46038,             9171,               77
    1,    192,     457646,          0,     457646,   2.057641,           346206,            92759,            18490,              191
    1,    204,     921570,          0,     921570,   2.013718,           694198,           190832,            36213,              327
    1,    216,    1743874,          0,    1743874,   1.892286,          1295627,           374458,            73130,              659
    1,    228,    3331089,          0,    3331089,   1.910166,          2488239,           697536,           143991,             1323
    1,    240,    5964223,          0,    5964223,   1.790472,          4364808,          1332055,           264716,             2644
    1,    252,   10972983,          0,   10972983,   1.839801,          8082472,          2371139,           514563,             4809
    1,    264,   19166178,          0,   19166178,   1.746670,         13800009,          4432542,           924041,             9586
    1,    276,   30364798,          0,   30364798,   1.584291,         21164810,          7480088,          1702983,            16917
    1,    288,   43533385,          0,   43533385,   1.433679,         29294354,         11346125,          2861831,            31075
    1,    300,   59391360,          0,   59391360,   1.364272,         38543334,         16313274,          4480647,            54105
