"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1"
    1,      0,         10,          0,         10,   1.000000,               10,                0
    1,      2,         10,          0,         10,   1.000000,                8,                2
    1,     14,         35,          0,         35,   3.500000,               28,                7
    1,     26,         49,          0,         49,   1.400000,               33,               16
    1,     38,         73,          0,         73,   1.489796,               50,               23
    1,     50,        168,          0,        168,   2.301370,              133,               35
    1,     62,        273,          0,        273,   1.625000,              191,               82
    1,     74,        557,          0,        557,   2.040293,              400,              157
    1,     86,       1059,          0,       1059,   1.901257,              758,              301
    1,     98,       2108,          0,       2108,   1.990557,             1494,              614
    1,    110,       4148,          0,       4148,   1.967742,             3024,             1124
    1,    122,       7804,          0,       7804,   1.881389,             5576,             2228
    1,    134,      15070,          0,      15070,   1.931061,            10906,             4164
    1,    146,      28045,          0,      28045,   1.860982,            20096,             7949
    1,    158,      55970,          0,      55970,   1.995721,            40617,            15353
    1,    170,     109855,          0,     109855,   1.962748,            79016,            30839
    1,    182,     213309,          0,     213309,   1.941732,           153937,            59372
    1,    194,     439584,          0,     439584,   2.060785,           318363,           121221
    1,    206,     884935,          0,     884935,   2.013119,           639429,           245506
    1,    218,    1673676,          0,    1673676,   1.891298,          1197424,           476252
    1,    230,    3196986,          0,    3196986,   1.910158,          2295067,           901919
    1,    242,    5723886,          0,    5723886,   1.790401,          4049320,          1674566
    1,    254,   10531220,          0,   10531220,   1.839872,          7483793,          3047427
    1,    266,   18410812,          0,   18410812,   1.748213,         12865498,          5545314
    1,    278,   28940479,          0,   28940479,   1.571929,         19706078,          9234401
    1,    290,   41794535,          0,   41794535,   1.444155,         27760655,         14033880
    1,    302,   57013955,          0,   57013955,   1.364149,         36871974,         20141981
