"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5"
    1,    436,    1045814,          0,    1045814,   0.819957,          1039137,                0,             1104,                0,                0,             5573
    1,    437,     123538,          0,     123538,   0.118126,           117135,                0,             6286,                0,                0,              117
    1,    438,      49537,          0,      49537,   0.400986,            43487,                0,             6050,                0,                0,                0
    1,    439,      37725,          0,      37725,   0.761552,            32110,                0,             5615,                0,                0,                0
    1,    440,      35913,          0,      35913,   0.951968,            30715,                0,             5198,                0,                0,                0
    1,    441,      34338,          0,      34338,   0.956144,            29556,                0,             4782,                0,                0,                0
    1,    442,      33134,          0,      33134,   0.964937,            28672,                0,             4462,                0,                0,                0
    1,    443,      31946,          0,      31946,   0.964146,            27793,                0,             2528,                0,                0,             1625
    1,    444,      30874,          0,      30874,   0.966443,            26968,                0,              355,                0,                0,             3551
    1,    445,    1349733,          0,    1349733,  43.717464,          1344724,                0,              221,                0,                0,             4788
    1,    446,    1368076,          0,    1368076,   1.013590,          1362087,                0,                9,                0,                0,             5980
    1,    447,    1300205,          0,    1300205,   0.950389,          1293312,                0,              215,                0,                0,             6678
    1,    448,    1109029,          0,    1109029,   0.852965,          1102363,                0,             1036,                0,                0,             5630
    1,    449,     129377,          0,     129377,   0.116658,           123011,                0,             6294,                0,                0,               72
    1,    450,      50577,          0,      50577,   0.390927,            44546,                0,             6031,                0,                0,                0
    1,    451,      38311,          0,      38311,   0.757479,            32739,                0,             5572,                0,                0,                0
    1,    452,      36472,          0,      36472,   0.951998,            31346,                0,             5126,                0,                0,                0
    1,    453,      34942,          0,      34942,   0.958050,            30177,                0,             4765,                0,                0,                0
    1,    454,      33632,          0,      33632,   0.962509,            29209,                0,             4423,                0,                0,                0
    1,    455,      32489,          0,      32489,   0.966015,            28344,                0,             2536,                0,                0,             1609
    1,    456,      31392,          0,      31392,   0.966235,            27490,                0,              312,                0,                0,             3590
    1,    457,    1414334,          0,    1414334,  45.053963,          1409291,                0,              193,                0,                0,             4850
    1,    458,    1450840,          0,    1450840,   1.025811,          1444773,                0,               16,                0,                0,             6051
    1,    459,    1388452,          0,    1388452,   0.956999,          1381443,                0,              223,                0,                0,             6786
    1,    460,    1182811,          0,    1182811,   0.851892,          1176055,                0,             1043,                0,                0,             5713
    1,    461,     129657,          0,     129657,   0.109618,           123214,                0,             6349,                0,                0,               94
    1,    462,      52552,          0,      52552,   0.405316,            46456,                0,             6096,                0,                0,                0
    1,    463,      39630,          0,      39630,   0.754110,            33960,                0,             5670,                0,                0,                0
    1,    464,      37791,          0,      37791,   0.953596,            32586,                0,             5205,                0,                0,                0
    1,    465,      36253,          0,      36253,   0.959302,            31474,                0,             4779,                0,                0,                0
    1,    466,      34937,          0,      34937,   0.963700,            30487,                0,             4450,                0,                0,                0
    1,    467,      33707,          0,      33707,   0.964794,            29552,                0,             2590,                0,                0,             1565
    1,    468,      32603,          0,      32603,   0.967247,            28661,                0,              309,                0,                0,             3633
    1,    469,    1423601,          0,    1423601,  43.664722,          1418480,                0,              209,                0,                0,             4912
    1,    470,    1435219,          0,    1435219,   1.008161,          1429067,                0,               21,                0,                0,             6131
    1,    471,    1358103,          0,    1358103,   0.946269,          1351072,                0,              200,                0,                0,             6831
    1,    472,    1140425,          0,    1140425,   0.839719,          1133659,                0,             1091,                0,                0,             5675
    1,    473,     130322,          0,     130322,   0.114275,           123844,                0,             6390,                0,                0,               88
    1,    474,      52751,          0,      52751,   0.404774,            46658,                0,             6093,                0,                0,                0
    1,    475,      40191,          0,      40191,   0.761900,            34511,                0,             5680,                0,                0,                0
    1,    476,      38251,          0,      38251,   0.951730,            32996,                0,             5255,                0,                0,                0
    1,    477,      36642,          0,      36642,   0.957936,            31770,                0,             4872,                0,                0,                0
    1,    478,      35283,          0,      35283,   0.962911,            30780,                0,             4503,                0,                0,                0
    1,    479,      34072,          0,      34072,   0.965677,            29871,                0,             4201,                0,                0,                0
    1,    480,      32880,          0,      32880,   0.965015,            28905,                0,              316,                0,                0,             3659
    1,    481,    1442606,          0,    1442606,  43.874878,          1437442,                0,              195,                0,                0,             4969
    1,    482,    1467842,          0,    1467842,   1.017493,          1461686,                0,               14,                0,                0,             6142
    1,    483,    1398575,          0,    1398575,   0.952810,          1391468,                0,              211,                0,                0,             6896
    1,    484,    1221846,          0,    1221846,   0.873636,          1215019,                0,              673,                0,                0,             6154
