"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2"
    1,      0,      15773,          0,      15773,   1.000000,                0,             5316,            10457
    1,     12,      69498,          0,      69498,   4.406137,            42390,            22049,             5059
    1,     24,      60158,          0,      60158,   0.865608,            15722,            42068,             2368
    1,     36,      41867,          0,      41867,   0.695951,             7517,            28497,             5853
    1,     48,      29756,          0,      29756,   0.710727,             5813,            13549,            10394
    1,     60,      31721,          0,      31721,   1.066037,            11252,            12624,             7845
    1,     72,      38484,          0,      38484,   1.213203,            14604,            18362,             5518
    1,     84,      42925,          0,      42925,   1.115399,            15581,            22768,             4576
    1,     96,      36624,          0,      36624,   0.853209,             9142,            22205,             5277
    1,    108,      29805,          0,      29805,   0.813811,             7357,            16360,             6088
    1,    120,      29473,          0,      29473,   0.988861,             9827,            13467,             6179
    1,    132,      30910,          0,      30910,   1.048756,            10372,            15460,             5078
    1,    144,      31026,          0,      31026,   1.003753,            10135,            16412,             4479
    1,    156,      28780,          0,      28780,   0.927609,             8397,            15725,             4658
    1,    168,      27183,          0,      27183,   0.944510,             8196,            14221,             4766
    1,    180,      25681,          0,      25681,   0.944745,             7603,            13386,             4692
    1,    192,      27102,          0,      27102,   1.055333,             8938,            13500,             4664
    1,    204,      28670,          0,      28670,   1.057855,             9430,            14812,             4428
    1,    216,      28155,          0,      28155,   0.982037,             8819,            15119,             4217
    1,    228,      26338,          0,      26338,   0.935464,             7483,            14429,             4426
    1,    240,      25010,          0,      25010,   0.949579,             7569,            12971,             4470
    1,    252,      24489,          0,      24489,   0.979168,             7101,            13013,             4375
    1,    264,      25330,          0,      25330,   1.034342,             8354,            12871,             4105
    1,    276,      25718,          0,      25718,   1.015318,             8296,            13338,             4084
    1,    288,      25465,          0,      25465,   0.990163,             7932,            13554,             3979
    1,    300,      25256,          0,      25256,   0.991793,             7691,            13381,             4184
    1,    312,      25386,          0,      25386,   1.005147,             7918,            13209,             4259
    1,    324,      25637,          0,      25637,   1.009887,             8078,            13215,             4344
    1,    336,      27292,          0,      27292,   1.064555,             9070,            13950,             4272
    1,    348,      27475,          0,      27475,   1.006705,             8576,            14675,             4224
    1,    360,      27387,          0,      27387,   0.996797,             8671,            14265,             4451
    1,    372,      27158,          0,      27158,   0.991638,             8407,            14152,             4599
    1,    384,      27446,          0,      27446,   1.010605,             8640,            14259,             4547
    1,    396,      28572,          0,      28572,   1.041026,             9311,            14580,             4681
    1,    408,      29853,          0,      29853,   1.044834,             9615,            15575,             4663
    1,    420,      29944,          0,      29944,   1.003048,             9209,            15948,             4787
    1,    432,      29927,          0,      29927,   0.999432,             9499,            15509,             4919
    1,    444,      30077,          0,      30077,   1.005012,             9362,            15706,             5009
    1,    456,      30596,          0,      30596,   1.017256,             9549,            16004,             5043
    1,    468,      31812,          0,      31812,   1.039744,            10293,            16398,             5121
    1,    480,      32077,          0,      32077,   1.008330,            10017,            16896,             5164
    1,    492,      32770,          0,      32770,   1.021604,            10273,            17167,             5330
