"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5","Trait Index  6"
    1,      0,         10,          0,         10,   1.000000,               10,                0,                0,                0,                0,                0,                0
    1,      2,         70,          0,         70,   7.000000,                0,                0,                0,               66,                0,                0,                4
    1,     14,        233,          0,        233,   3.328571,                0,                0,                0,              222,                0,                0,               11
    1,     26,        469,          0,        469,   2.012876,                0,                0,                0,              443,                0,                0,               26
    1,     38,        881,          0,        881,   1.878465,                0,                0,                0,              829,                0,                0,               52
    1,     50,       1582,          0,       1582,   1.795687,                0,                0,                0,             1492,                0,                0,               90
    1,     62,       3273,          0,       3273,   2.068900,                0,                0,                0,             3087,                0,                0,              186
    1,     74,       6065,          0,       6065,   1.853040,                0,                0,                0,             5725,                0,                0,              340
    1,     86,      11847,          0,      11847,   1.953339,                0,                0,                0,            11176,                0,                0,              671
    1,     98,      22792,          0,      22792,   1.923863,                0,                0,                0,            21504,                0,                0,             1288
    1,    110,      44381,          0,      44381,   1.947218,                0,                0,                0,            41860,                0,                0,             2521
    1,    122,      85089,          0,      85089,   1.917239,                0,                0,                0,            80287,                0,                0,             4802
    1,    134,     162678,          0,     162678,   1.911857,                0,                0,                0,           153381,                0,                0,             9297
    1,    146,     307998,          0,     307998,   1.893298,                0,                0,                0,           290467,                0,                0,            17531
    1,    158,     594108,          0,     594108,   1.928935,                0,                0,                0,           560306,                0,                0,            33802
    1,    170,    1183965,          0,    1183965,   1.992845,                0,                0,                0,          1116157,                0,                0,            67808
    1,    182,    2261966,          0,    2261966,   1.910501,                0,                0,                0,          2132101,                0,                0,           129865
    1,    194,    4515683,          0,    4515683,   1.996353,                0,                0,                0,          4252094,                0,                0,           263589
    1,    206,    8802438,          0,    8802438,   1.949304,                0,                0,                0,          8273868,                0,                0,           528570
    1,    218,   16161430,          0,   16161430,   1.836017,                0,                0,                0,         15152742,                0,                0,          1008688
    1,    230,   28210767,          0,   28210767,   1.745561,                0,                0,                0,         26356964,                0,                0,          1853803
    1,    242,   46497044,          0,   46497044,   1.648202,                0,                0,                0,         43178393,                0,                0,          3318651
    1,    254,   70402760,          0,   70402760,   1.514134,                0,                0,                0,         64717629,                0,                0,          5685131
    1,    266,   98981995,          0,   98981995,   1.405939,                0,                0,                0,         89517234,                0,                0,          9464761
    1,    278,  126995558,          0,  126995558,   1.283017,                0,                0,                0,        113079858,                0,                0,         13915700
    1,    290,  149610212,          0,  149610212,   1.178074,                0,                0,                0,        131159559,                0,                0,         18450653
