"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3"
    1,      0,         10,          0,         10,   1.000000,                0,                5,                5,                0
    1,     12,         70,          0,         70,   7.000000,               60,                0,                5,                5
    1,     24,        103,          0,        103,   1.471429,               69,               32,                0,                2
    1,     36,        191,          0,        191,   1.854369,              144,               34,               13,                0
    1,     48,        349,          0,        349,   1.827225,              269,               71,                9,                0
    1,     60,        670,          0,        670,   1.919771,              499,              146,               25,                0
    1,     72,       1358,          0,       1358,   2.026866,             1036,              259,               63,                0
    1,     84,       2497,          0,       2497,   1.838733,             1856,              532,              109,                0
    1,     96,       4876,          0,       4876,   1.952743,             3654,             1016,              205,                1
    1,    108,       9201,          0,       9201,   1.886998,             6869,             1932,              394,                6
    1,    120,      18322,          0,      18322,   1.991305,            13889,             3686,              733,               14
    1,    132,      34473,          0,      34473,   1.881509,            25714,             7377,             1376,                6
    1,    144,      65382,          0,      65382,   1.896615,            48989,            13653,             2718,               22
    1,    156,     129027,          0,     129027,   1.973433,            97707,            25984,             5304,               32
    1,    168,     250368,          0,     250368,   1.940431,           187169,            52978,            10117,              104
    1,    180,     485823,          0,     485823,   1.940436,           364875,           100374,            20384,              190
    1,    192,     993172,          0,     993172,   2.044308,           749525,           203591,            39677,              379
    1,    204,    1964692,          0,    1964692,   1.978199,          1471562,           412821,            79558,              751
    1,    216,    3638619,          0,    3638619,   1.852005,          2684136,           794555,           158480,             1448
    1,    228,    6727856,          0,    6727856,   1.849014,          4976501,          1445218,           303284,             2853
    1,    240,   11465646,          0,   11465646,   1.704205,          8252672,          2659386,           548261,             5327
    1,    252,   19581533,          0,   19581533,   1.707844,         14070339,          4475912,          1025054,            10228
    1,    264,   30467316,          0,   30467316,   1.555921,         20997238,          7707281,          1743487,            19310
    1,    276,   42005991,          0,   42005991,   1.378723,         27645510,         11372384,          2956566,            31531
    1,    288,   53373648,          0,   53373648,   1.270620,         34154849,         14818559,          4346252,            53988
    1,    300,   66124133,          0,   66124133,   1.238891,         41143358,         19040250,          5857528,            82997
