"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5"
    1,      0,      15773,          0,      15773,   1.000000,            15773,                0,                0,                0,                0,                0
    1,      1,    5333826,          0,    5333826,  338.161804,          5323351,                0,              386,                0,                0,            10089
    1,      2,    5232488,          0,    5232488,   0.981001,          5222478,                0,              164,                0,                0,             9846
    1,      3,    4853933,          0,    4853933,   0.927653,          4844378,                0,              202,                0,                0,             9353
    1,      4,    4107811,          0,    4107811,   0.846285,          4098692,                0,             1148,                0,                0,             7971
    1,      5,     625904,          0,     625904,   0.152369,           617166,                0,             8090,                0,                0,              648
    1,      6,     124085,          0,     124085,   0.198249,           115841,                0,             8244,                0,                0,                0
    1,      7,      77446,          0,      77446,   0.624137,            69697,                0,             7749,                0,                0,                0
    1,      8,      73473,          0,      73473,   0.948700,            66373,                0,             7100,                0,                0,                0
    1,      9,      72616,          0,      72616,   0.988336,            66063,                0,             6553,                0,                0,                0
    1,     10,      71818,          0,      71818,   0.989011,            65786,                0,             6032,                0,                0,                0
    1,     11,      71148,          0,      71148,   0.990671,            65542,                0,             4895,                0,                0,              711
    1,     12,      69281,          0,      69281,   0.973759,            63994,                0,             1884,                0,                0,             3403
    1,     13,    2476931,          0,    2476931,  35.751953,          2471948,                0,              404,                0,                0,             4579
    1,     14,    2452579,          0,    2452579,   0.990168,          2447802,                0,              152,                0,                0,             4625
    1,     15,    2257155,          0,    2257155,   0.920319,          2252594,                0,              180,                0,                0,             4381
    1,     16,    1836295,          0,    1836295,   0.813544,          1831946,                0,              797,                0,                0,             3552
    1,     17,     199865,          0,     199865,   0.108841,           195701,                0,             4164,                0,                0,                0
    1,     18,      97504,          0,      97504,   0.487849,            93610,                0,             3894,                0,                0,                0
    1,     19,      77410,          0,      77410,   0.793916,            73815,                0,             3595,                0,                0,                0
    1,     20,      73177,          0,      73177,   0.945317,            69873,                0,             3304,                0,                0,                0
    1,     21,      69392,          0,      69392,   0.948276,            66366,                0,             3026,                0,                0,                0
    1,     22,      66014,          0,      66014,   0.951320,            63200,                0,             2814,                0,                0,                0
    1,     23,      63095,          0,      63095,   0.955782,            60499,                0,             2596,                0,                0,                0
    1,     24,      59819,          0,      59819,   0.948078,            57400,                0,              938,                0,                0,             1481
    1,     25,    1122298,          0,    1122298,  18.761564,          1119967,                0,              267,                0,                0,             2064
    1,     26,    1128340,          0,    1128340,   1.005384,          1126144,                0,              103,                0,                0,             2093
    1,     27,    1044570,          0,    1044570,   0.925758,          1042502,                0,              101,                0,                0,             1967
    1,     28,     853866,          0,     853866,   0.817433,           851931,                0,              414,                0,                0,             1521
    1,     29,     189917,          0,     189917,   0.222420,           188099,                0,             1651,                0,                0,              167
    1,     30,      68814,          0,      68814,   0.362337,            67138,                0,             1676,                0,                0,                0
    1,     31,      54870,          0,      54870,   0.797367,            53368,                0,             1502,                0,                0,                0
    1,     32,      50812,          0,      50812,   0.926043,            49471,                0,             1341,                0,                0,                0
    1,     33,      47726,          0,      47726,   0.939266,            46530,                0,             1196,                0,                0,                0
    1,     34,      45118,          0,      45118,   0.945355,            44043,                0,             1075,                0,                0,                0
    1,     35,      42749,          0,      42749,   0.947493,            41777,                0,              972,                0,                0,                0
    1,     36,      40504,          0,      40504,   0.947484,            39628,                0,              459,                0,                0,              417
    1,     37,     820509,          0,     820509,  20.257481,           815425,                0,              396,                0,                0,             4688
    1,     38,     824697,          0,     824697,   1.005104,           815915,                0,              165,                0,                0,             8617
    1,     39,     759899,          0,     759899,   0.921428,           747993,                0,              860,                0,                0,            11046
    1,     40,     649042,          0,     649042,   0.854116,           636196,                0,             2812,                0,                0,            10034
    1,     41,      80613,          0,      80613,   0.124203,            68340,                0,            12273,                0,                0,                0
    1,     42,      44619,          0,      44619,   0.553496,            33102,                0,            11517,                0,                0,                0
    1,     43,      36913,          0,      36913,   0.827293,            26194,                0,            10719,                0,                0,                0
    1,     44,      34702,          0,      34702,   0.940102,            24851,                0,             9851,                0,                0,                0
    1,     45,      32760,          0,      32760,   0.944038,            23679,                0,             9081,                0,                0,                0
    1,     46,      30960,          0,      30960,   0.945055,            22600,                0,             8360,                0,                0,                0
    1,     47,      29375,          0,      29375,   0.948805,            21575,                0,             7800,                0,                0,                0
    1,     48,      27557,          0,      27557,   0.938111,            20275,                0,             4124,                0,                0,             3158
    1,     49,    1375378,          0,    1375378,  49.910294,          1366565,                0,              578,                0,                0,             8235
    1,     50,    1461069,          0,    1461069,   1.062304,          1450707,                0,              181,                0,                0,            10181
    1,     51,    1441146,          0,    1441146,   0.986364,          1429678,                0,              552,                0,                0,            10916
