"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4"
    1,      0,      15773,          0,      15773,   1.000000,            15773,                0,                0,                0,                0
    1,      1,     348851,          0,     348851,  22.116972,           338828,                0,             8393,             1630,                0
    1,      2,     374501,          0,     374501,   1.073527,           364899,                0,             2520,             7082,                0
    1,      3,     364494,          0,     364494,   0.973279,           355368,                0,             1186,             7940,                0
    1,      4,     333572,          0,     333572,   0.915165,           324844,                2,             8726,                0,                0
    1,      5,     124272,          0,     124272,   0.372549,           116015,              550,             7707,                0,                0
    1,      6,      77605,          0,      77605,   0.624477,            69869,             2690,             5046,                0,                0
    1,      7,      73624,          0,      73624,   0.948702,            66970,             6654,                0,                0,                0
    1,      8,      72744,          0,      72744,   0.988047,            68638,             4106,                0,                0,                0
    1,      9,      71937,          0,      71937,   0.988906,            67546,             4391,                0,                0,                0
    1,     10,      71260,          0,      71260,   0.990589,            65672,             5588,                0,                0,                0
    1,     11,      70713,          0,      70713,   0.992324,            65426,              444,             4843,                0,                0
    1,     12,      68920,          0,      68920,   0.974644,            63914,                5,             5001,                0,                0
    1,     13,     219260,          0,     219260,   3.181370,           214485,                0,             3925,              850,                0
    1,     14,     230300,          0,     230300,   1.050351,           225730,                0,             1090,             3480,                0
    1,     15,     223122,          0,     223122,   0.968832,           218759,                0,              888,             3475,                0
    1,     16,     199948,          0,     199948,   0.896138,           195801,               10,             4137,                0,                0
    1,     17,      97586,          0,      97586,   0.488057,            93684,              429,             3473,                0,                0
    1,     18,      77490,          0,      77490,   0.794069,            74166,             3324,                0,                0,                0
    1,     19,      73254,          0,      73254,   0.945335,            72196,             1058,                0,                0,                0
    1,     20,      69466,          0,      69466,   0.948290,            67745,             1721,                0,                0,                0
    1,     21,      66061,          0,      66061,   0.950983,            64077,             1984,                0,                0,                0
    1,     22,      63161,          0,      63161,   0.956101,            60549,             2508,              104,                0,                0
    1,     23,      60567,          0,      60567,   0.958930,            58154,              905,             1508,                0,                0
    1,     24,      57924,          0,      57924,   0.956362,            55591,                2,             2331,                0,                0
    1,     25,     122397,          0,     122397,   2.113062,           120164,                0,             2233,                0,                0
    1,     26,     127281,          0,     127281,   1.039903,           125169,                0,              551,             1561,                0
    1,     27,     123167,          0,     123167,   0.967678,           121200,                1,              467,             1499,                0
    1,     28,     111733,          0,     111733,   0.907167,           109871,                6,             1775,               81,                0
    1,     29,      68852,          0,      68852,   0.616219,            67139,              225,             1488,                0,                0
    1,     30,      54905,          0,      54905,   0.797435,            53376,             1078,              451,                0,                0
    1,     31,      50840,          0,      50840,   0.925963,            49696,             1144,                0,                0,                0
    1,     32,      47757,          0,      47757,   0.939359,            46921,              836,                0,                0,                0
    1,     33,      45148,          0,      45148,   0.945369,            44215,              933,                0,                0,                0
    1,     34,      42775,          0,      42775,   0.947440,            41809,              966,                0,                0,                0
    1,     35,      40768,          0,      40768,   0.953080,            39861,              257,              650,                0,                0
    1,     36,      38851,          0,      38851,   0.952978,            38027,                6,              818,                0,                0
    1,     37,      86541,          0,      86541,   2.227510,            81671,                1,             3348,             1521,                0
    1,     38,      90028,          0,      90028,   1.040293,            81632,                0,             1852,             6544,                0
    1,     39,      87024,          0,      87024,   0.966633,            75631,                8,             2777,             8608,                0
    1,     40,      80633,          0,      80633,   0.926560,            68340,               36,            12257,                0,                0
    1,     41,      44633,          0,      44633,   0.553533,            33109,             2006,             9518,                0,                0
    1,     42,      36929,          0,      36929,   0.827392,            26304,             9585,             1040,                0,                0
    1,     43,      34719,          0,      34719,   0.940155,            26308,             8411,                0,                0,                0
    1,     44,      32772,          0,      32772,   0.943921,            25113,             7659,                0,                0,                0
    1,     45,      30975,          0,      30975,   0.945167,            23163,             7812,                0,                0,                0
    1,     46,      29389,          0,      29389,   0.948797,            21599,             4697,             3093,                0,                0
    1,     47,      27968,          0,      27968,   0.951649,            20687,             2039,             5242,                0,                0
    1,     48,      26419,          0,      26419,   0.944615,            19557,              195,             6667,                0,                0
    1,     49,     110424,          0,     110424,   4.179719,           101949,                0,             5022,             3453,                0
    1,     50,     122872,          0,     122872,   1.112729,           112945,                0,             2362,             7565,                0
    1,     51,     125012,          0,     125012,   1.017416,           114025,                0,             2789,             8198,                0
    1,     52,     115741,          0,     115741,   0.925839,           105261,               18,             9722,              740,                0
    1,     53,      69817,          0,      69817,   0.603218,            59947,             1096,             8774,                0,                0
    1,     54,      35073,          0,      35073,   0.502356,            26713,             8347,               13,                0,                0
    1,     55,      33527,          0,      33527,   0.955921,            26546,             6981,                0,                0,                0
    1,     56,      32133,          0,      32133,   0.958422,            30147,             1986,                0,                0,                0
    1,     57,      30848,          0,      30848,   0.960010,            25437,             5411,                0,                0,                0
    1,     58,      29875,          0,      29875,   0.968458,            23183,             3053,             3639,                0,                0
    1,     59,      29003,          0,      29003,   0.970812,            22696,              473,             5834,                0,                0
    1,     60,      27656,          0,      27656,   0.953557,            21666,               40,             5950,                0,                0
