"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5","Trait Index  6"
    1,      0,         10,          0,         10,   1.000000,               10,                0,                0,                0,                0,                0,                0
    1,      2,        122,          0,        122,  12.200000,                0,                0,                0,              115,                0,                0,                7
    1,     14,        304,          0,        304,   2.491803,                0,                0,                0,              292,                0,                0,               12
    1,     26,        952,          0,        952,   3.131579,                0,                0,                0,              893,                0,                0,               59
    1,     38,       1780,          0,       1780,   1.869748,                0,                0,                0,             1685,                0,                0,               95
    1,     50,       3763,          0,       3763,   2.114045,                0,                0,                0,             3548,                0,                0,              215
    1,     62,       8002,          0,       8002,   2.126495,                0,                0,                0,             7549,                0,                0,              453
    1,     74,      16448,          0,      16448,   2.055486,                0,                0,                0,            15504,                0,                0,              944
    1,     86,      33340,          0,      33340,   2.026994,                0,                0,                0,            31449,                0,                0,             1891
    1,     98,      70268,          0,      70268,   2.107619,                0,                0,                0,            66231,                0,                0,             4037
    1,    110,     139541,          0,     139541,   1.985840,                0,                0,                0,           131556,                0,                0,             7985
    1,    122,     298485,          0,     298485,   2.139049,                0,                0,                0,           281286,                0,                0,            17199
    1,    134,     606274,          0,     606274,   2.031171,                0,                0,                0,           570835,                0,                0,            35439
    1,    146,    1203232,          0,    1203232,   1.984634,                0,                0,                0,          1130885,                0,                0,            72347
    1,    158,    2449220,          0,    2449220,   2.035534,                0,                0,                0,          2295017,                0,                0,           154203
    1,    170,    4785030,          0,    4785030,   1.953695,                0,                0,                0,          4460779,                0,                0,           324251
    1,    182,    8611120,          0,    8611120,   1.799596,                0,                0,                0,          7957955,                0,                0,           653165
    1,    194,   14525037,          0,   14525037,   1.686777,                0,                0,                0,         13194816,                0,                0,          1330221
    1,    206,   21425327,          0,   21425327,   1.475062,                0,                0,                0,         18970628,                0,                0,          2454699
    1,    218,   28916149,          0,   28916149,   1.349625,                0,                0,                0,         25164139,                0,                0,          3752010
    1,    230,   33666360,          0,   33666360,   1.164275,                0,                0,                0,         28491294,                0,                0,          5175066
    1,    242,   46197545,          0,   46197545,   1.372217,                0,                0,                0,         39700108,                0,                0,          6497437
    1,    254,   40777234,          0,   40777234,   0.882671,                0,                0,                0,         32881747,                0,                0,          7895487
    1,    266,   86495407,          0,   86495407,   2.121169,                0,                0,                0,         76125764,                0,                0,         10369643
