"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2"
    1,      0,      15773,          0,      15773,   1.000000,                0,             5298,            10475
    1,     12,      68811,          0,      68811,   4.362582,            41935,            21893,             4983
    1,     24,      57875,          0,      57875,   0.841072,            15587,            39957,             2331
    1,     36,      38828,          0,      38828,   0.670894,             7683,            26061,             5084
    1,     48,      26410,          0,      26410,   0.680179,             5127,            12470,             8813
    1,     60,      27649,          0,      27649,   1.046914,             9844,            10879,             6926
    1,     72,      33491,          0,      33491,   1.211292,            12993,            15773,             4725
    1,     84,      36812,          0,      36812,   1.099161,            13796,            19310,             3706
    1,     96,      30185,          0,      30185,   0.819977,             7420,            18554,             4211
    1,    108,      24439,          0,      24439,   0.809641,             6254,            13388,             4797
    1,    120,      22845,          0,      22845,   0.934776,             7538,            10422,             4885
    1,    132,      23590,          0,      23590,   1.032611,             8126,            11562,             3902
    1,    144,      23483,          0,      23483,   0.995464,             7909,            12379,             3195
    1,    156,      21195,          0,      21195,   0.902568,             6420,            11544,             3231
    1,    168,      19390,          0,      19390,   0.914838,             5968,            10096,             3326
    1,    180,      17711,          0,      17711,   0.913409,             5496,             9036,             3179
    1,    192,      17960,          0,      17960,   1.014059,             6023,             8970,             2967
    1,    204,      18287,          0,      18287,   1.018207,             6200,             9343,             2744
    1,    216,      17620,          0,      17620,   0.963526,             5617,             9433,             2570
    1,    228,      16122,          0,      16122,   0.914983,             4748,             8747,             2627
    1,    240,      14626,          0,      14626,   0.907208,             4531,             7456,             2639
    1,    252,      13707,          0,      13707,   0.937167,             4012,             7228,             2467
    1,    264,      14558,          0,      14558,   1.062085,             5154,             7134,             2270
