"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3"
    1,      0,         10,          0,         10,   1.000000,                0,                6,                4,                0
    1,     12,         36,          0,         36,   3.600000,               26,                0,                6,                4
    1,     24,         80,          0,         80,   2.222222,               62,               17,                0,                1
    1,     36,        139,          0,        139,   1.737500,               90,               40,                9,                0
    1,     48,        335,          0,        335,   2.410072,              263,               55,               17,                0
    1,     60,        714,          0,        714,   2.131343,              513,              168,               33,                0
    1,     72,       1436,          0,       1436,   2.011204,             1162,              212,               62,                0
    1,     84,       2407,          0,       2407,   1.676184,             1716,              586,              102,                3
    1,     96,       5163,          0,       5163,   2.144994,             3857,             1010,              292,                4
    1,    108,       9849,          0,       9849,   1.907612,             7161,             2237,              448,                3
    1,    120,      20333,          0,      20333,   2.064474,            15439,             3939,              947,                8
    1,    132,      38994,          0,      38994,   1.917769,            28409,             8777,             1799,                9
    1,    144,      80187,          0,      80187,   2.056393,            58849,            16850,             4435,               53
    1,    156,     169509,          0,     169509,   2.113921,           124231,            36316,             8844,              118
    1,    168,     355899,          0,     355899,   2.099588,           259438,            76939,            19275,              247
    1,    180,     722623,          0,     722623,   2.030416,           517675,           163753,            40688,              507
    1,    192,    1547687,          0,    1547687,   2.141763,          1095959,           355186,            95211,             1331
    1,    204,    3080486,          0,    3080486,   1.990381,          2122102,           748851,           206503,             3030
    1,    216,    5255284,          0,    5255284,   1.705992,          3453279,          1382424,           413326,             6255
    1,    228,    8169010,          0,    8169010,   1.554437,          5104800,          2284455,           767379,            12376
    1,    240,   10717902,          0,   10717902,   1.312020,          6211425,          3258898,          1225458,            22121
    1,    252,   14738654,          0,   14738654,   1.375144,          8763531,          4121328,          1816839,            36956
    1,    264,   16289400,          0,   16289400,   1.105216,          7957651,          5925547,          2349490,            56712
