"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2"
    1,      0,      15773,          0,      15773,   1.000000,                0,             5333,            10440
    1,     12,      67476,          0,      67476,   4.277943,            41036,            21312,             5128
    1,     24,      57365,          0,      57365,   0.850154,            15546,            39425,             2394
    1,     36,      39192,          0,      39192,   0.683204,             8115,            25964,             5113
    1,     48,      26978,          0,      26978,   0.688355,             5337,            12775,             8866
    1,     60,      27995,          0,      27995,   1.037697,             9955,            11169,             6871
    1,     72,      33594,          0,      33594,   1.200000,            13057,            15733,             4804
    1,     84,      36235,          0,      36235,   1.078615,            13626,            18988,             3621
    1,     96,      29781,          0,      29781,   0.821885,             7555,            18145,             4081
    1,    108,      23404,          0,      23404,   0.785870,             5875,            12803,             4726
    1,    120,      22228,          0,      22228,   0.949752,             7400,            10111,             4717
    1,    132,      23137,          0,      23137,   1.040894,             8124,            11276,             3737
    1,    144,      22945,          0,      22945,   0.991702,             7698,            12136,             3111
    1,    156,      20516,          0,      20516,   0.894138,             6072,            11342,             3102
    1,    168,      18411,          0,      18411,   0.897397,             5276,             9811,             3324
    1,    180,      16683,          0,      16683,   0.906143,             5075,             8472,             3136
    1,    192,      17238,          0,      17238,   1.033267,             5863,             8545,             2830
    1,    204,      17853,          0,      17853,   1.035677,             6256,             9033,             2564
    1,    216,      16838,          0,      16838,   0.943147,             5381,             9049,             2408
    1,    228,      15349,          0,      15349,   0.911569,             4591,             8281,             2477
    1,    240,      14580,          0,      14580,   0.949899,             4574,             7569,             2437
    1,    252,      12945,          0,      12945,   0.887860,             3543,             7001,             2401
    1,    264,      13209,          0,      13209,   1.020394,             4438,             6537,             2234
