"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5","Trait Index  6","Trait Index  7","Trait Index  8","Trait Index  9","Trait Index 10","Trait Index 11","Trait Index 12","Trait Index 13","Trait Index 14","Trait Index 15","Trait Index 16","Trait Index 17","Trait Index 18","Trait Index 19","Trait Index 20","Trait Index 21","Trait Index 22","Trait Index 23","Trait Index 24","Trait Index 25","Trait Index 26","Trait Index 27","Trait Index 28","Trait Index 29","Trait Index 30","Trait Index 31","Trait Index 32","Trait Index 33","Trait Index 34","Trait Index 35","Trait Index 36"
    1,      0,         10,          0,         10,   1.000000,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                1,                2,                0,                0,                0,                0,                2,                1,                0,                0,                0,                1,                0,                1,                0,                1,                0,                0,                0,                0,                0,                1,                0,                0
    1,      1,         10,          0,         10,   1.000000,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                1,                2,                0,                0,                0,                0,                2,                1,                0,                0,                0,                1,                0,                1,                0,                1,                0,                0,                0,                0,                0,                1,                0
    1,      2,         36,          0,         36,   3.600000,                0,               26,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                1,                2,                0,                0,                0,                0,                2,                1,                0,                0,                0,                1,                0,                1,                0,                1,                0,                0,                0,                0,                0,                1
    1,      3,         36,          0,         36,   1.000000,                0,                0,               26,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                1,                2,                0,                0,                0,                0,                2,                1,                0,                0,                0,                1,                0,                1,                0,                1,                0,                0,                0,                0,                1
    1,      4,         36,          0,         36,   1.000000,                0,                0,                0,               26,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                1,                2,                0,                0,                0,                0,                2,                1,                0,                0,                0,                1,                0,                1,                0,                1,                0,                0,                0,                1
    1,      5,         36,          0,         36,   1.000000,                0,                0,                0,                0,               26,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                1,                2,                0,                0,                0,                0,                2,                1,                0,                0,                0,                1,                0,                1,                0,                1,                0,                0,                1
    1,      6,         36,          0,         36,   1.000000,                0,                0,                0,                0,                0,               26,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                1,                2,                0,                0,                0,                0,                2,                1,                0,                0,                0,                1,                0,                1,                0,                1,                0,                1
    1,      7,         36,          0,         36,   1.000000,                0,                0,                0,                0,                0,                0,               26,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                1,                2,                0,                0,                0,                0,                2,                1,                0,                0,                0,                1,                0,                1,                0,                1,                1
    1,      8,         36,          0,         36,   1.000000,                0,                0,                0,                0,                0,                0,                0,               26,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                1,                2,                0,                0,                0,                0,                2,                1,                0,                0,                0,                1,                0,                1,                0,                2
    1,      9,         36,          0,         36,   1.000000,                0,                0,                0,                0,                0,                0,                0,                0,               26,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                1,                2,                0,                0,                0,                0,                2,                1,                0,                0,                0,                1,                0,                1,                2
    1,     10,         36,          0,         36,   1.000000,                0,                0,                0,                0,                0,                0,                0,                0,                0,               26,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                1,                2,                0,                0,                0,                0,                2,                1,                0,                0,                0,                1,                0,                3
    1,     11,         36,          0,         36,   1.000000,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               26,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                1,                2,                0,                0,                0,                0,                2,                1,                0,                0,                0,                1,                3
    1,     12,         36,          0,         36,   1.000000,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               26,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                1,                2,                0,                0,                0,                0,                2,                1,                0,                0,                0,                4
    1,     13,         35,          0,         35,   0.972222,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               26,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                1,                2,                0,                0,                0,                0,                2,                1,                0,                0,                3
    1,     14,        183,          0,        183,   5.228571,                0,              149,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               26,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                1,                2,                0,                0,                0,                0,                2,                1,                0,                2
    1,     15,        175,          0,        175,   0.956284,                0,                0,              142,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               26,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                1,                2,                0,                0,                0,                0,                2,                1,                1
    1,     16,        164,          0,        164,   0.937143,                0,                0,                0,              133,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               25,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                1,                1,                0,                0,                0,                0,                2,                2
    1,     17,        149,          0,        149,   0.908537,                0,                0,                0,                0,              120,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               25,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                1,                0,                0,                0,                0,                0,                3
    1,     18,        129,          0,        129,   0.865772,                0,                0,                0,                0,                0,              104,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               22,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                1,                0,                0,                0,                0,                2
    1,     19,        112,          0,        112,   0.868217,                0,                0,                0,                0,                0,                0,               89,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               20,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                1,                0,                0,                0,                2
    1,     20,        102,          0,        102,   0.910714,                0,                0,                0,                0,                0,                0,                0,               83,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               18,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                1,                0,                0,                0
    1,     21,         87,          0,         87,   0.852941,                0,                0,                0,                0,                0,                0,                0,                0,               69,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               17,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                1,                0,                0
    1,     22,         84,          0,         84,   0.965517,                0,                0,                0,                0,                0,                0,                0,                0,                0,               66,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               17,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                1,                0
