"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5","Trait Index  6"
    1,      0,         10,          0,         10,   1.000000,               10,                0,                0,                0,                0,                0,                0
    1,      2,         36,          0,         36,   3.600000,                0,                0,                0,               34,                0,                0,                2
    1,     14,        191,          0,        191,   5.305555,                0,                0,                0,              180,                0,                0,               11
    1,     26,        320,          0,        320,   1.675393,                0,                0,                0,              302,                0,                0,               18
    1,     38,        826,          0,        826,   2.581250,                0,                0,                0,              781,                0,                0,               45
    1,     50,       1598,          0,       1598,   1.934625,                0,                0,                0,             1509,                0,                0,               89
    1,     62,       3636,          0,       3636,   2.275344,                0,                0,                0,             3431,                0,                0,              205
    1,     74,       5911,          0,       5911,   1.625688,                0,                0,                0,             5589,                0,                0,              322
    1,     86,      12316,          0,      12316,   2.083573,                0,                0,                0,            11610,                0,                0,              706
    1,     98,      24502,          0,      24502,   1.989445,                0,                0,                0,            23121,                0,                0,             1381
    1,    110,      49506,          0,      49506,   2.020488,                0,                0,                0,            46681,                0,                0,             2825
    1,    122,      94135,          0,      94135,   1.901487,                0,                0,                0,            88777,                0,                0,             5358
    1,    134,     193881,          0,     193881,   2.059606,                0,                0,                0,           182715,                0,                0,            11166
    1,    146,     390996,          0,     390996,   2.016680,                0,                0,                0,           368369,                0,                0,            22627
    1,    158,     818591,          0,     818591,   2.093605,                0,                0,                0,           770279,                0,                0,            48312
    1,    170,    1681544,          0,    1681544,   2.054193,                0,                0,                0,          1578676,                0,                0,           102868
    1,    182,    3334054,          0,    3334054,   1.982734,                0,                0,                0,          3118210,                0,                0,           215844
    1,    194,    6650766,          0,    6650766,   1.994799,                0,                0,                0,          6176995,                0,                0,           473771
    1,    206,   11899427,          0,   11899427,   1.789181,                0,                0,                0,         10913974,                0,                0,           985453
    1,    218,   18161266,          0,   18161266,   1.526230,                0,                0,                0,         16358627,                0,                0,          1802639
    1,    230,   24413670,          0,   24413670,   1.344271,                0,                0,                0,         21416083,                0,                0,          2997587
    1,    242,   32715369,          0,   32715369,   1.340043,                0,                0,                0,         28424451,                0,                0,          4290918
    1,    254,   34008411,          0,   34008411,   1.039524,                0,                0,                0,         28256604,                0,                0,          5751807
    1,    266,   58050294,          0,   58050294,   1.706939,                0,                0,                0,         50454909,                0,                0,          7595385
