"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4"
    1,    253,      53879,          0,      53879,   4.149965,            51584,                1,             1210,             1084,                0
    1,    254,      57005,          0,      57005,   1.058019,            54272,                0,              537,             2196,                0
    1,    255,      56230,          0,      56230,   0.986405,            53194,                0,              660,             2376,                0
    1,    256,      50985,          0,      50985,   0.906722,            48090,                4,             2860,               31,                0
    1,    257,      23716,          0,      23716,   0.465156,            20981,              198,             2537,                0,                0
    1,    258,      16585,          0,      16585,   0.699317,            14178,             2267,              140,                0,                0
    1,    259,      15797,          0,      15797,   0.952487,            13680,             2117,                0,                0,                0
    1,    260,      15142,          0,      15142,   0.958536,            13206,             1936,                0,                0,                0
    1,    261,      14552,          0,      14552,   0.961036,            12754,             1798,                0,                0,                0
    1,    262,      14058,          0,      14058,   0.966053,            12195,             1781,               82,                0,                0
    1,    263,      13631,          0,      13631,   0.969626,            11868,              217,             1546,                0,                0
    1,    264,      13244,          0,      13244,   0.971609,            11561,                4,             1679,                0,                0
    1,    265,      55043,          0,      55043,   4.156071,            52895,                1,              595,             1552,                0
    1,    266,      59476,          0,      59476,   1.080537,            56975,                0,              455,             2046,                0
    1,    267,      59091,          0,      59091,   0.993527,            56215,                0,              585,             2291,                0
    1,    268,      53656,          0,      53656,   0.908023,            50913,                2,             2738,                3,                0
