"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5"
    1,      0,      15773,          0,      15773,   1.000000,            15773,                0,                0,                0,                0,                0
    1,      1,    5203477,          0,    5203477,  329.897736,          5193037,                0,              386,                0,                0,            10054
    1,      2,    5140217,          0,    5140217,   0.987843,          5130250,                0,              175,                0,                0,             9792
    1,      3,    4782270,          0,    4782270,   0.930363,          4772700,                0,              210,                0,                0,             9360
    1,      4,    4023783,          0,    4023783,   0.841396,          4014608,                0,             1189,                0,                0,             7986
    1,      5,     601953,          0,     601953,   0.149599,           593181,                0,             8171,                0,                0,              601
    1,      6,     121033,          0,     121033,   0.201067,           112766,                0,             8267,                0,                0,                0
    1,      7,      75920,          0,      75920,   0.627267,            68150,                0,             7770,                0,                0,                0
    1,      8,      72277,          0,      72277,   0.952015,            65081,                0,             7196,                0,                0,                0
    1,      9,      71359,          0,      71359,   0.987299,            64766,                0,             6593,                0,                0,                0
    1,     10,      70585,          0,      70585,   0.989153,            64491,                0,             6094,                0,                0,                0
    1,     11,      69904,          0,      69904,   0.990352,            64202,                0,             4947,                0,                0,              755
    1,     12,      67928,          0,      67928,   0.971733,            62553,                0,             1882,                0,                0,             3493
    1,     13,    2527222,          0,    2527222,  37.204422,          2522094,                0,              406,                0,                0,             4722
    1,     14,    2487303,          0,    2487303,   0.984204,          2482420,                0,              153,                0,                0,             4730
    1,     15,    2281965,          0,    2281965,   0.917446,          2277300,                0,              197,                0,                0,             4468
    1,     16,    1934142,          0,    1934142,   0.847577,          1929640,                0,              834,                0,                0,             3668
    1,     17,     205175,          0,     205175,   0.106081,           200830,                0,             4345,                0,                0,                0
    1,     18,      97755,          0,      97755,   0.476447,            93686,                0,             4069,                0,                0,                0
    1,     19,      76568,          0,      76568,   0.783264,            72777,                0,             3791,                0,                0,                0
    1,     20,      72439,          0,      72439,   0.946074,            68976,                0,             3463,                0,                0,                0
    1,     21,      68732,          0,      68732,   0.948826,            65552,                0,             3180,                0,                0,                0
    1,     22,      65499,          0,      65499,   0.952962,            62594,                0,             2905,                0,                0,                0
    1,     23,      62650,          0,      62650,   0.956503,            59966,                0,             2684,                0,                0,                0
    1,     24,      59340,          0,      59340,   0.947167,            56831,                0,              999,                0,                0,             1510
    1,     25,    1194874,          0,    1194874,  20.136063,          1192480,                0,              272,                0,                0,             2122
    1,     26,    1179145,          0,    1179145,   0.986836,          1176903,                0,               82,                0,                0,             2160
    1,     27,    1090292,          0,    1090292,   0.924646,          1088187,                0,               86,                0,                0,             2019
    1,     28,     895571,          0,     895571,   0.821405,           893599,                0,              423,                0,                0,             1549
    1,     29,     182556,          0,     182556,   0.203843,           180711,                0,             1699,                0,                0,              146
    1,     30,      68698,          0,      68698,   0.376312,            66994,                0,             1704,                0,                0,                0
    1,     31,      54991,          0,      54991,   0.800475,            53447,                0,             1544,                0,                0,                0
    1,     32,      50982,          0,      50982,   0.927097,            49597,                0,             1385,                0,                0,                0
    1,     33,      47950,          0,      47950,   0.940528,            46710,                0,             1240,                0,                0,                0
    1,     34,      45328,          0,      45328,   0.945318,            44219,                0,             1109,                0,                0,                0
    1,     35,      42984,          0,      42984,   0.948288,            41985,                0,              999,                0,                0,                0
    1,     36,      40886,          0,      40886,   0.951191,            39965,                0,              484,                0,                0,              437
    1,     37,     870371,          0,     870371,  21.287752,           865258,                0,              390,                0,                0,             4723
    1,     38,     858520,          0,     858520,   0.986384,           849770,                0,              175,                0,                0,             8575
    1,     39,     792172,          0,     792172,   0.922718,           780309,                0,              873,                0,                0,            10990
    1,     40,     679086,          0,     679086,   0.857246,           666249,                0,             2775,                0,                0,            10062
    1,     41,      83062,          0,      83062,   0.122314,            70818,                0,            12244,                0,                0,                0
    1,     42,      45467,          0,      45467,   0.547386,            34002,                0,            11465,                0,                0,                0
    1,     43,      37447,          0,      37447,   0.823608,            26789,                0,            10658,                0,                0,                0
    1,     44,      35117,          0,      35117,   0.937779,            25358,                0,             9759,                0,                0,                0
    1,     45,      33115,          0,      33115,   0.942991,            24117,                0,             8998,                0,                0,                0
    1,     46,      31354,          0,      31354,   0.946822,            23050,                0,             8304,                0,                0,                0
    1,     47,      29841,          0,      29841,   0.951745,            22103,                0,             7738,                0,                0,                0
    1,     48,      28109,          0,      28109,   0.941959,            20883,                0,             4125,                0,                0,             3101
    1,     49,    1401617,          0,    1401617,  49.863640,          1392751,                0,              545,                0,                0,             8321
    1,     50,    1468667,          0,    1468667,   1.047838,          1458451,                0,              178,                0,                0,            10038
    1,     51,    1464736,          0,    1464736,   0.997323,          1453335,                0,              492,                0,                0,            10909
    1,     52,    1243188,          0,    1243188,   0.848745,          1232296,                0,             2457,                0,                0,             8435
    1,     53,     488181,          0,     488181,   0.392685,           477779,                0,             7713,                0,                0,             2689
    1,     54,      71451,          0,      71451,   0.146362,            61632,                0,             9819,                0,                0,                0
    1,     55,      35585,          0,      35585,   0.498034,            26467,                0,             9118,                0,                0,                0
    1,     56,      34017,          0,      34017,   0.955936,            25624,                0,             8393,                0,                0,                0
    1,     57,      32575,          0,      32575,   0.957609,            24847,                0,             7728,                0,                0,                0
    1,     58,      31302,          0,      31302,   0.960921,            24188,                0,             7114,                0,                0,                0
    1,     59,      30284,          0,      30284,   0.967478,            23629,                0,             6655,                0,                0,                0
    1,     60,      28725,          0,      28725,   0.948521,            22480,                0,             1582,                0,                0,             4663
    1,     61,    1843915,          0,    1843915,  64.191994,          1837044,                0,              804,                0,                0,             6067
    1,     62,    1928928,          0,    1928928,   1.046105,          1921491,                0,              185,                0,                0,             7252
    1,     63,    1897319,          0,    1897319,   0.983613,          1889453,                0,              354,                0,                0,             7512
    1,     64,    1553580,          0,    1553580,   0.818829,          1545941,                0,             1786,                0,                0,             5853
    1,     65,     142969,          0,     142969,   0.092026,           135707,                0,             7261,                0,                0,                1
    1,     66,      56710,          0,      56710,   0.396659,            49863,                0,             6847,                0,                0,                0
    1,     67,      41227,          0,      41227,   0.726979,            34862,                0,             6365,                0,                0,                0
    1,     68,      39714,          0,      39714,   0.963301,            33884,                0,             5830,                0,                0,                0
    1,     69,      38200,          0,      38200,   0.961877,            32834,                0,             5366,                0,                0,                0
    1,     70,      36927,          0,      36927,   0.966675,            31954,                0,             4973,                0,                0,                0
    1,     71,      35823,          0,      35823,   0.970103,            31160,                0,             4663,                0,                0,                0
    1,     72,      34360,          0,      34360,   0.959160,            29980,                0,             1576,                0,                0,             2804
    1,     73,    1812518,          0,    1812518,  52.750816,          1807714,                0,              615,                0,                0,             4189
    1,     74,    1951627,          0,    1951627,   1.076749,          1946399,                0,              117,                0,                0,             5111
    1,     75,    1979494,          0,    1979494,   1.014279,          1973976,                0,              241,                0,                0,             5277
