"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1"
    1,      0,         10,          0,         10,   1.000000,               10,                0
    1,      2,         10,          0,         10,   1.000000,                8,                2
    1,     14,         35,          0,         35,   3.500000,               24,               11
    1,     26,         76,          0,         76,   2.171429,               58,               18
    1,     38,        137,          0,        137,   1.802632,               92,               45
    1,     50,        326,          0,        326,   2.379562,              237,               89
    1,     62,        684,          0,        684,   2.098160,              479,              205
    1,     74,       1373,          0,       1373,   2.007310,             1051,              322
    1,     86,       2308,          0,       2308,   1.680991,             1602,              706
    1,     98,       4957,          0,       4957,   2.147747,             3576,             1381
    1,    110,       9336,          0,       9336,   1.883397,             6511,             2825
    1,    122,      19430,          0,      19430,   2.081191,            14072,             5358
    1,    134,      37266,          0,      37266,   1.917962,            26100,            11166
    1,    146,      76050,          0,      76050,   2.040734,            53423,            22627
    1,    158,     162659,          0,     162659,   2.138843,           114347,            48312
    1,    170,     343213,          0,     343213,   2.110015,           240345,           102868
    1,    182,     698444,          0,     698444,   2.035016,           482600,           215844
    1,    194,    1499980,          0,    1499980,   2.147602,          1026209,           473771
    1,    206,    2987392,          0,    2987392,   1.991621,          2001939,           985453
    1,    218,    5099482,          0,    5099482,   1.707001,          3296843,          1802639
    1,    230,    7935195,          0,    7935195,   1.556079,          4937608,          2997587
    1,    242,   10420463,          0,   10420463,   1.313196,          6129545,          4290918
    1,    254,   14314066,          0,   14314066,   1.373650,          8562259,          5751807
    1,    266,   15883042,          0,   15883042,   1.109611,          8287657,          7595385
