"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3"
    1,      0,         10,          0,         10,   1.000000,                0,                5,                5,                0
    1,     12,        122,          0,        122,  12.200000,              112,                0,                5,                5
    1,     24,        130,          0,        130,   1.065574,               60,               70,                0,                0
    1,     36,        388,          0,        388,   2.984615,              310,               43,               35,                0
    1,     48,        753,          0,        753,   1.940722,              542,              187,               23,                1
    1,     60,       1636,          0,       1636,   2.172643,             1232,              300,              104,                0
    1,     72,       3377,          0,       3377,   2.064181,             2498,              725,              150,                4
    1,     84,       6789,          0,       6789,   2.010364,             5035,             1401,              349,                4
    1,     96,      14040,          0,      14040,   2.068051,            10316,             3040,              675,                9
    1,    108,      28828,          0,      28828,   2.053276,            21405,             5964,             1449,               10
    1,    120,      59566,          0,      59566,   2.066255,            43346,            13057,             3118,               45
    1,    132,     125116,          0,     125116,   2.100460,            91941,            26335,             6760,               80
    1,    144,     252302,          0,     252302,   2.016545,           183484,            55367,            13272,              179
    1,    156,     526979,          0,     526979,   2.088683,           381801,           115368,            29462,              348
    1,    168,    1080183,          0,    1080183,   2.049765,           771805,           244492,            63041,              845
    1,    180,    2079369,          0,    2079369,   1.925015,          1448972,           495591,           132939,             1867
    1,    192,    4055026,          0,    4055026,   1.950123,          2751156,          1007407,           292155,             4308
    1,    204,    6855332,          0,    6855332,   1.690577,          4367640,          1887633,           590563,             9496
    1,    216,    9624048,          0,    9624048,   1.403878,          5716804,          2850346,          1039327,            17571
    1,    228,   13065587,          0,   13065587,   1.357598,          7662558,          3783707,          1587967,            31355
    1,    240,   14934423,          0,   14934423,   1.143035,          7943252,          4912680,          2032899,            45592
    1,    252,   20679933,          0,   20679933,   1.384716,         12558328,          5303223,          2756592,            61790
    1,    264,   20179981,          0,   20179981,   0.975824,          8490280,          8549266,          3054008,            86427
