"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2"
    3,      0,      15773,          0,      15773,   1.000000,                0,             5254,            10519
    3,     12,      69875,          0,      69875,   4.430038,            42777,            22108,             4990
    3,     24,      60663,          0,      60663,   0.868165,            15834,            42478,             2351
    3,     36,      42924,          0,      42924,   0.707581,             7876,            29062,             5986
    3,     48,      30637,          0,      30637,   0.713750,             5891,            14028,            10718
    3,     60,      32598,          0,      32598,   1.064008,            11378,            13115,             8105
    3,     72,      40620,          0,      40620,   1.246089,            15571,            19252,             5797
    3,     84,      44675,          0,      44675,   1.099828,            15841,            24047,             4787
    3,     96,      38470,          0,      38470,   0.861108,             9764,            23197,             5509
    3,    108,      31750,          0,      31750,   0.825318,             7661,            17531,             6558
    3,    120,      31173,          0,      31173,   0.981827,            10166,            14374,             6633
    3,    132,      33554,          0,      33554,   1.076380,            11402,            16642,             5510
    3,    144,      33345,          0,      33345,   0.993771,            10914,            17808,             4623
    3,    156,      29979,          0,      29979,   0.899055,             8339,            16761,             4879
    3,    168,      28255,          0,      28255,   0.942493,             8278,            14828,             5149
    3,    180,      27766,          0,      27766,   0.982693,             8526,            14126,             5114
    3,    192,      29331,          0,      29331,   1.056364,             9766,            14718,             4847
    3,    204,      30149,          0,      30149,   1.027889,             9711,            15782,             4656
    3,    216,      29960,          0,      29960,   0.993731,             9710,            15672,             4578
    3,    228,      28496,          0,      28496,   0.951135,             8276,            15470,             4750
    3,    240,      27494,          0,      27494,   0.964837,             8540,            14265,             4689
    3,    252,      25968,          0,      25968,   0.944497,             7240,            14028,             4700
    3,    264,      26536,          0,      26536,   1.021873,             8516,            13557,             4463
    3,    276,      27276,          0,      27276,   1.027887,             8664,            14080,             4532
    3,    288,      27289,          0,      27289,   1.000477,             8680,            14468,             4141
    3,    300,      27007,          0,      27007,   0.989666,             8301,            14288,             4418
    3,    312,      27136,          0,      27136,   1.004777,             8651,            13943,             4542
    3,    324,      27428,          0,      27428,   1.010761,             8608,            14287,             4533
    3,    336,      28284,          0,      28284,   1.031209,             9252,            14488,             4544
    3,    348,      28944,          0,      28944,   1.023335,             9318,            15032,             4594
    3,    360,      29128,          0,      29128,   1.006357,             9171,            15376,             4581
    3,    372,      29236,          0,      29236,   1.003708,             9151,            15272,             4813
    3,    384,      29823,          0,      29823,   1.020078,             9455,            15429,             4939
    3,    396,      30476,          0,      30476,   1.021896,             9589,            15915,             4972
    3,    408,      31777,          0,      31777,   1.042689,            10383,            16385,             5009
    3,    420,      32296,          0,      32296,   1.016333,            10167,            16971,             5158
    3,    432,      32600,          0,      32600,   1.009413,            10241,            17092,             5267
    3,    444,      33083,          0,      33083,   1.014816,            10372,            17230,             5481
    3,    456,      33867,          0,      33867,   1.023698,            10858,            17460,             5549
    3,    468,      34813,          0,      34813,   1.027933,            10963,            18139,             5711
    3,    480,      36243,          0,      36243,   1.041077,            11705,            18764,             5774
    3,    492,      36826,          0,      36826,   1.016086,            11512,            19337,             5977
