"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3"
    1,      0,         10,          0,         10,   1.000000,                0,                5,                5,                0
    1,     12,         88,          0,         88,   8.800000,               78,                0,                5,                5
    1,     24,        123,          0,        123,   1.397727,               79,               43,                0,                1
    1,     36,        240,          0,        240,   1.951220,              160,               53,               27,                0
    1,     48,        636,          0,        636,   2.650000,              521,               94,               20,                1
    1,     60,       1078,          0,       1078,   1.694969,              720,              319,               39,                0
    1,     72,       2525,          0,       2525,   2.342301,             1973,              409,              142,                1
    1,     84,       4727,          0,       4727,   1.872079,             3423,             1117,              183,                4
    1,     96,      10397,          0,      10397,   2.199492,             7662,             2135,              598,                2
    1,    108,      21326,          0,      21326,   2.051169,            15893,             4469,              953,               11
    1,    120,      43346,          0,      43346,   2.032542,            31653,             9501,             2161,               31
    1,    132,      91014,          0,      91014,   2.099709,            66926,            19154,             4880,               54
    1,    144,     184266,          0,     184266,   2.024590,           134333,            40236,             9572,              125
    1,    156,     385284,          0,     385284,   2.090912,           279447,            84294,            21265,              278
    1,    168,     796511,          0,     796511,   2.067335,           572809,           177454,            45640,              608
    1,    180,    1555695,          0,    1555695,   1.953137,          1093539,           365020,            95839,             1297
    1,    192,    3121991,          0,    3121991,   2.006814,          2148332,           756181,           214449,             3029
    1,    204,    5549011,          0,    5549011,   1.777395,          3627699,          1471743,           442684,             6885
    1,    216,    8206533,          0,    8206533,   1.478918,          5016724,          2365798,           810981,            13030
    1,    228,   11354054,          0,   11354054,   1.383538,          6697111,          3316930,          1315663,            24350
    1,    240,   13729504,          0,   13729504,   1.209216,          7628900,          4282781,          1779948,            37875
    1,    252,   17812019,          0,   17812019,   1.297354,         10282134,          5078703,          2397423,            53759
