"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5","Trait Index  6","Trait Index  7","Trait Index  8","Trait Index  9","Trait Index 10","Trait Index 11","Trait Index 12","Trait Index 13","Trait Index 14","Trait Index 15","Trait Index 16","Trait Index 17"
    1,      0,      15773,          0,      15773,   1.000000,                0,                0,                0,                0,                0,                0,             2562,                0,             2763,                0,             2621,                0,             2648,                0,             2555,                0,             2624,                0
    1,     11,      70549,          0,      70549,   4.472770,                0,                0,                0,                0,             1251,            62425,              216,                0,             1330,                0,             1360,                0,             1335,                0,             1294,                0,             1338,                0
    1,     23,      60866,          0,      60866,   0.862748,                0,                0,                0,                0,              644,            24975,            32617,                0,               81,                0,              628,                0,              673,                0,              633,                0,              615,                0
    1,     35,      41348,          0,      41348,   0.679328,                0,                0,                0,                0,              271,            12152,            12909,                0,            15046,                0,               43,                0,              295,                0,              336,                0,              296,                0
    1,     47,      28833,          0,      28833,   0.697325,                0,                0,                0,                0,              464,             8688,             6279,                0,             6002,                0,             7059,                0,               22,                0,              145,                0,              174,                0
    1,     59,      29109,          0,      29109,   1.009572,                0,                0,                0,                0,              588,            14815,             4498,                0,             2945,                0,             2813,                0,             3370,                0,               12,                0,               68,                0
    1,     71,      34449,          0,      34449,   1.183448,                0,                0,                0,                0,              379,            19896,             7791,                0,             2124,                0,             1382,                0,             1267,                0,             1606,                0,                4,                0
    1,     83,      37600,          0,      37600,   1.091469,                0,                0,                0,                0,              297,            20404,            10275,                0,             3609,                0,              980,                0,              667,                0,              596,                0,              772,                0
    1,     95,      31559,          0,      31559,   0.839335,                0,                0,                0,                0,              427,            12943,            10636,                0,             4755,                0,             1713,                0,              472,                0,              323,                0,              290,                0
    1,    107,      24473,          0,      24473,   0.775468,                0,                0,                0,                0,              198,             9301,             6615,                0,             4905,                0,             2268,                0,              811,                0,              229,                0,              146,                0
    1,    119,      22955,          0,      22955,   0.937972,                0,                0,                0,                0,              255,            11012,             4796,                0,             3024,                0,             2311,                0,             1087,                0,              369,                0,              101,                0
    1,    131,      24203,          0,      24203,   1.054367,                0,                0,                0,                0,              495,            12425,             5765,                0,             2264,                0,             1434,                0,             1119,                0,              516,                0,              185,                0
    1,    143,      23983,          0,      23983,   0.990910,                0,                0,                0,                0,              341,            12079,             6405,                0,             2673,                0,             1048,                0,              666,                0,              527,                0,              244,                0
    1,    155,      21261,          0,      21261,   0.886503,                0,                0,                0,                0,              241,             9521,             6168,                0,             2952,                0,             1289,                0,              519,                0,              322,                0,              249,                0
    1,    167,      19328,          0,      19328,   0.909082,                0,                0,                0,                0,              108,             8944,             4972,                0,             2897,                0,             1387,                0,              623,                0,              238,                0,              159,                0
    1,    179,      18011,          0,      18011,   0.931861,                0,                0,                0,                0,              128,             8451,             4613,                0,             2399,                0,             1370,                0,              633,                0,              305,                0,              112,                0
    1,    191,      17952,          0,      17952,   0.996724,                0,                0,                0,                0,              126,             8747,             4497,                0,             2254,                0,             1176,                0,              683,                0,              321,                0,              148,                0
    1,    203,      18278,          0,      18278,   1.018160,                0,                0,                0,                0,              322,             9104,             4592,                0,             2102,                0,             1080,                0,              555,                0,              358,                0,              165,                0
    1,    215,      17760,          0,      17760,   0.971660,                0,                0,                0,                0,              132,             8767,             4738,                0,             2161,                0,              972,                0,              506,                0,              290,                0,              194,                0
    1,    227,      16202,          0,      16202,   0.912275,                0,                0,                0,                0,              150,             7283,             4620,                0,             2220,                0,             1036,                0,              479,                0,              265,                0,              149,                0
    1,    239,      15131,          0,      15131,   0.933897,                0,                0,                0,                0,               64,             7240,             3776,                0,             2138,                0,             1041,                0,              516,                0,              221,                0,              135,                0
    1,    251,      13688,          0,      13688,   0.904633,                0,                0,                0,                0,               73,             6192,             3784,                0,             1785,                0,              977,                0,              494,                0,              261,                0,              122,                0
