"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5","Trait Index  6","Trait Index  7","Trait Index  8"
    1,      0,      15773,          0,      15773,   1.000000,                0,                0,                0,             2562,             2763,             2621,             2648,             2555,             2624
    1,      1,     345282,          0,     345282,  21.890699,                0,           330444,                0,             2242,             2607,             2515,             2520,             2479,             2475
    1,      2,     370650,          0,     370650,   1.073470,                0,           304246,            52416,             1905,             2497,             2415,             2423,             2378,             2370
    1,      3,     363662,          0,     363662,   0.981147,                0,           281633,            68822,             1646,             2366,             2316,             2293,             2288,             2298
    1,      4,     332625,          0,     332625,   0.914654,                0,           235625,            84604,             1387,             2245,             2187,             2211,             2205,             2161
    1,      5,     124680,          0,     124680,   0.374837,                0,            19382,            93780,             1126,             2106,             2087,             2080,             2056,             2063
    1,      6,      77342,          0,      77342,   0.620324,                0,                0,            66732,              930,             1949,             1942,             1951,             1898,             1940
    1,      7,      73404,          0,      73404,   0.949083,                0,                0,            63676,              728,             1798,             1825,             1825,             1746,             1806
    1,      8,      72505,          0,      72505,   0.987753,                0,                0,            63676,              519,             1651,             1707,             1681,             1616,             1655
    1,      9,      71651,          0,      71651,   0.988222,                0,                0,            63676,              359,             1511,             1577,             1548,             1458,             1522
    1,     10,      70958,          0,      70958,   0.990328,                0,                0,            63676,              235,             1404,             1442,             1422,             1366,             1413
    1,     11,      69196,          0,      69196,   0.975168,                0,                0,            62425,               95,             1301,             1407,             1313,             1299,             1356
    1,     12,      68757,          0,      68757,   0.993656,                0,                0,            42105,            20320,             1223,             1350,             1241,             1250,             1268
    1,     13,     218906,          0,     218906,   3.183763,                0,           151549,            23722,            37674,             1072,             1281,             1188,             1193,             1227
    1,     14,     229484,          0,     229484,   1.048322,                0,           140096,            31059,            52726,              898,             1247,             1135,             1158,             1165
    1,     15,     223749,          0,     223749,   0.975009,                0,           129434,            31617,            57425,              790,             1192,             1083,             1089,             1119
    1,     16,     201332,          0,     201332,   0.899812,                0,           102829,            39093,            54465,              650,             1151,             1019,             1060,             1065
    1,     17,      97543,          0,      97543,   0.484488,                0,                0,            41865,            51115,              521,             1082,              980,              982,              998
    1,     18,      77236,          0,      77236,   0.791815,                0,                0,            25619,            47441,              425,              987,              917,              928,              919
    1,     19,      73200,          0,      73200,   0.947745,                0,                0,            25619,            43780,              323,              877,              883,              875,              843
    1,     20,      69574,          0,      69574,   0.950464,                0,                0,            25619,            40533,              225,              790,              820,              812,              775
    1,     21,      66312,          0,      66312,   0.953115,                0,                0,            25619,            37593,              155,              716,              778,              744,              707
    1,     22,      63329,          0,      63329,   0.955016,                0,                0,            25619,            34903,               93,              664,              713,              674,              663
    1,     23,      60164,          0,      60164,   0.950023,                0,                0,            24975,            32617,               34,              601,              692,              627,              618
    1,     24,      58182,          0,      58182,   0.967057,                0,                0,            15572,            30744,             9436,              565,              662,              602,              601
    1,     25,     126127,          0,     126127,   2.167801,                0,            70179,             7232,            28923,            17508,              495,              640,              567,              583
    1,     26,     129895,          0,     129895,   1.029875,                0,            65001,            11132,            27113,            24508,              426,              619,              540,              556
    1,     27,     125725,          0,     125725,   0.967897,                0,            59722,            14591,            22792,            26634,              378,              569,              518,              521
    1,     28,     112793,          0,     112793,   0.897141,                0,            46184,            17871,            21634,            25234,              308,              565,              486,              511
    1,     29,      69908,          0,      69908,   0.619790,                0,             5235,            18965,            20290,            23693,              252,              514,              485,              474
    1,     30,      55703,          0,      55703,   0.796804,                0,                0,            13198,            18877,            22074,              194,              468,              452,              440
    1,     31,      51512,          0,      51512,   0.924762,                0,                0,            12423,            17357,            20318,              150,              418,              430,              416
    1,     32,      48400,          0,      48400,   0.939587,                0,                0,            12423,            15969,            18737,              111,              374,              403,              383
    1,     33,      45638,          0,      45638,   0.942934,                0,                0,            12423,            14730,            17327,               76,              349,              377,              356
    1,     34,      43249,          0,      43249,   0.947653,                0,                0,            12423,            13729,            16051,               46,              322,              358,              320
    1,     35,      41052,          0,      41052,   0.949201,                0,                0,            12152,            12909,            15046,               15,              288,              346,              296
    1,     36,      39398,          0,      39398,   0.959710,                0,                0,             7797,            12122,            14279,             4333,              262,              320,              285
    1,     37,      92653,          0,      92653,   2.351718,                0,            54807,             3988,            11457,            13428,             8166,              230,              302,              275
    1,     38,      96004,          0,      96004,   1.036167,                0,            51059,             9155,            10964,            12612,            11448,              195,              300,              271
    1,     39,      92798,          0,      92798,   0.966606,                0,            46512,            11513,            11079,            10615,            12360,              178,              283,              258
    1,     40,      86013,          0,      86013,   0.926884,                0,            38953,            14008,            10511,            10066,            11801,              151,              282,              241
    1,     41,      46305,          0,      46305,   0.538349,                0,                0,            15303,             9839,             9442,            11100,              125,              255,              241
    1,     42,      38067,          0,      38067,   0.822093,                0,                0,             9152,             9192,             8802,            10349,               98,              237,              237
    1,     43,      35786,          0,      35786,   0.940079,                0,                0,             9152,             8482,             8138,             9515,               70,              207,              222
    1,     44,      33714,          0,      33714,   0.942100,                0,                0,             9152,             7847,             7492,             8780,               55,              177,              211
    1,     45,      31848,          0,      31848,   0.944652,                0,                0,             9152,             7249,             6912,             8136,               36,              168,              195
    1,     46,      30277,          0,      30277,   0.950672,                0,                0,             9152,             6739,             6436,             7586,               25,              152,              187
    1,     47,      28357,          0,      28357,   0.936586,                0,                0,             8688,             6279,             6002,             7059,                9,              142,              178
    1,     48,      27233,          0,      27233,   0.960362,                0,                0,             5517,             7072,             5593,             6713,             2040,              133,              165
    1,     49,     109715,          0,     109715,   4.028752,                0,            83495,             2498,             7993,             5338,             6257,             3867,              113,              154
    1,     50,     120906,          0,     120906,   1.102001,                0,            82398,            13224,             8588,             5113,             5867,             5472,               95,              149
    1,     51,     123114,          0,     123114,   1.018262,                0,            80658,            18295,             7935,             5158,             4913,             5930,               86,              139
    1,     52,     113852,          0,     113852,   0.924769,                0,            67529,            23339,             7513,             4885,             4690,             5682,               72,              142
    1,     53,      68074,          0,      68074,   0.597917,                0,            20302,            26125,             7065,             4593,             4428,             5375,               58,              128
    1,     54,      35488,          0,      35488,   0.521315,                0,                0,            15403,             6580,             4268,             4120,             4954,               45,              118
    1,     55,      33790,          0,      33790,   0.952153,                0,                0,            15403,             6061,             3887,             3769,             4537,               30,              103
    1,     56,      32305,          0,      32305,   0.956052,                0,                0,            15403,             5585,             3596,             3468,             4141,               24,               88
    1,     57,      31052,          0,      31052,   0.961213,                0,                0,            15403,             5148,             3377,             3208,             3823,               18,               75
    1,     58,      30006,          0,      30006,   0.966315,                0,                0,            15403,             4798,             3132,             2988,             3603,               12,               70
    1,     59,      28517,          0,      28517,   0.950377,                0,                0,            14815,             4498,             2945,             2813,             3370,                4,               72
    1,     60,      27766,          0,      27766,   0.973665,                0,                0,             9798,             7810,             3286,             2618,             3221,              964,               69
    1,     61,     142448,          0,     142448,   5.130303,                0,           115539,             4838,            10965,             3732,             2503,             2995,             1822,               54
