"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4"
    1,      0,      15773,          0,      15773,   1.000000,            15773,                0,                0,                0,                0
    1,      1,     345509,          0,     345509,  21.905090,           335512,                0,             8267,             1730,                0
    1,      2,     370853,          0,     370853,   1.073353,           361256,                0,             2519,             7078,                0
    1,      3,     363850,          0,     363850,   0.981117,           354652,                0,             1171,             8027,                0
    1,      4,     332819,          0,     332819,   0.914715,           324033,                2,             8784,                0,                0
    1,      5,     124849,          0,     124849,   0.375126,           116580,              565,             7704,                0,                0
    1,      6,      77493,          0,      77493,   0.620694,            69761,             2622,             5110,                0,                0
    1,      7,      73535,          0,      73535,   0.948924,            66844,             6691,                0,                0,                0
    1,      8,      72654,          0,      72654,   0.988019,            68614,             4040,                0,                0,                0
    1,      9,      71792,          0,      71792,   0.988136,            67479,             4313,                0,                0,                0
    1,     10,      71076,          0,      71076,   0.990027,            65439,             5637,                0,                0,                0
    1,     11,      70549,          0,      70549,   0.992585,            65222,              529,             4798,                0,                0
    1,     12,      68856,          0,      68856,   0.976003,            63756,               16,             5084,                0,                0
    1,     13,     218997,          0,     218997,   3.180507,           214107,                0,             4012,              878,                0
    1,     14,     229587,          0,     229587,   1.048357,           224889,                0,             1061,             3637,                0
    1,     15,     223858,          0,     223858,   0.975047,           219336,                0,              929,             3593,                0
    1,     16,     201414,          0,     201414,   0.899740,           197129,               19,             4266,                0,                0
    1,     17,      97627,          0,      97627,   0.484708,            93586,              453,             3588,                0,                0
    1,     18,      77313,          0,      77313,   0.791922,            73830,             3483,                0,                0,                0
    1,     19,      73262,          0,      73262,   0.947603,            72233,             1029,                0,                0,                0
    1,     20,      69637,          0,      69637,   0.950520,            67899,             1738,                0,                0,                0
    1,     21,      66379,          0,      66379,   0.953215,            64339,             2040,                0,                0,                0
    1,     22,      63386,          0,      63386,   0.954910,            60680,             2591,              115,                0,                0
    1,     23,      60866,          0,      60866,   0.960244,            58323,              999,             1544,                0,                0
    1,     24,      58227,          0,      58227,   0.956642,            55786,               11,             2430,                0,                0
    1,     25,     126174,          0,     126174,   2.166933,           123842,                1,             2331,                0,                0
    1,     26,     129938,          0,     129938,   1.029832,           127754,                0,              602,             1582,                0
