"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5","Trait Index  6"
    1,      0,         10,          0,         10,   1.000000,               10,                0,                0,                0,                0,                0,                0
    1,      2,         88,          0,         88,   8.800000,                0,                0,                0,               83,                0,                0,                5
    1,     14,        278,          0,        278,   3.159091,                0,                0,                0,              262,                0,                0,               16
    1,     26,        560,          0,        560,   2.014389,                0,                0,                0,              528,                0,                0,               32
    1,     38,       1588,          0,       1588,   2.835714,                0,                0,                0,             1497,                0,                0,               91
    1,     50,       2504,          0,       2504,   1.576826,                0,                0,                0,             2360,                0,                0,              144
    1,     62,       6101,          0,       6101,   2.436502,                0,                0,                0,             5745,                0,                0,              356
    1,     74,      11328,          0,      11328,   1.856745,                0,                0,                0,            10692,                0,                0,              636
    1,     86,      24159,          0,      24159,   2.132680,                0,                0,                0,            22750,                0,                0,             1409
    1,     98,      52059,          0,      52059,   2.154849,                0,                0,                0,            49096,                0,                0,             2963
    1,    110,     102702,          0,     102702,   1.972800,                0,                0,                0,            96839,                0,                0,             5863
    1,    122,     216797,          0,     216797,   2.110933,                0,                0,                0,           204334,                0,                0,            12463
    1,    134,     444252,          0,     444252,   2.049161,                0,                0,                0,           418520,                0,                0,            25732
    1,    146,     880457,          0,     880457,   1.981886,                0,                0,                0,           828067,                0,                0,            52390
    1,    158,    1816867,          0,    1816867,   2.063550,                0,                0,                0,          1704902,                0,                0,           111965
    1,    170,    3597265,          0,    3597265,   1.979928,                0,                0,                0,          3361008,                0,                0,           236257
    1,    182,    6657945,          0,    6657945,   1.850835,                0,                0,                0,          6177046,                0,                0,           480899
    1,    194,   11814088,          0,   11814088,   1.774435,                0,                0,                0,         10813268,                0,                0,          1000820
    1,    206,   18345486,          0,   18345486,   1.552848,                0,                0,                0,         16426917,                0,                0,          1918569
    1,    218,   25088085,          0,   25088085,   1.367534,                0,                0,                0,         21994482,                0,                0,          3093603
    1,    230,   31235678,          0,   31235678,   1.245040,                0,                0,                0,         26770648,                0,                0,          4465030
    1,    242,   39354169,          0,   39354169,   1.259911,                0,                0,                0,         33615837,                0,                0,          5738332
    1,    254,   40387470,          0,   40387470,   1.026257,                0,                0,                0,         33209301,                0,                0,          7178169
