"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2"
    6,      0,      15773,          0,      15773,   1.000000,                0,             5369,            10404
    6,     12,      69459,          0,      69459,   4.403665,            42393,            22003,             5063
    6,     24,      60413,          0,      60413,   0.869765,            15780,            42195,             2438
    6,     36,      43249,          0,      43249,   0.715889,             8154,            28989,             6106
    6,     48,      31037,          0,      31037,   0.717635,             5973,            14430,            10634
    6,     60,      33159,          0,      33159,   1.068370,            11678,            13267,             8214
    6,     72,      40949,          0,      40949,   1.234929,            15520,            19677,             5752
    6,     84,      44873,          0,      44873,   1.095827,            15993,            24028,             4852
    6,     96,      38419,          0,      38419,   0.856172,             9335,            23474,             5610
    6,    108,      30952,          0,      30952,   0.805643,             7373,            16950,             6629
    6,    120,      31116,          0,      31116,   1.005298,            10513,            14004,             6599
    6,    132,      33408,          0,      33408,   1.073660,            11337,            16571,             5500
    6,    144,      34360,          0,      34360,   1.028496,            11509,            18257,             4594
    6,    156,      31129,          0,      31129,   0.905966,             8863,            17355,             4911
    6,    168,      29261,          0,      29261,   0.939992,             8564,            15466,             5231
    6,    180,      28204,          0,      28204,   0.963877,             8447,            14580,             5177
    6,    192,      29991,          0,      29991,   1.063360,            10138,            14926,             4927
    6,    204,      31264,          0,      31264,   1.042446,            10190,            16355,             4719
    6,    216,      30581,          0,      30581,   0.978154,             9889,            16059,             4633
    6,    228,      28702,          0,      28702,   0.938557,             8104,            15780,             4818
    6,    240,      27558,          0,      27558,   0.960142,             8473,            14321,             4764
    6,    252,      26346,          0,      26346,   0.956020,             7625,            14040,             4681
    6,    264,      26659,          0,      26659,   1.011880,             8486,            13677,             4496
    6,    276,      27432,          0,      27432,   1.028996,             8942,            14185,             4305
    6,    288,      26490,          0,      26490,   0.965661,             8083,            14301,             4106
    6,    300,      26044,          0,      26044,   0.983163,             7751,            13915,             4378
    6,    312,      26272,          0,      26272,   1.008754,             8543,            13272,             4457
    6,    324,      27070,          0,      27070,   1.030375,             8775,            13904,             4391
    6,    336,      27577,          0,      27577,   1.018729,             9071,            14240,             4266
    6,    348,      27268,          0,      27268,   0.988795,             8450,            14435,             4383
    6,    360,      28049,          0,      28049,   1.028642,             8913,            14642,             4494
    6,    372,      27988,          0,      27988,   0.997825,             8635,            14690,             4663
    6,    384,      28887,          0,      28887,   1.032121,             9231,            14796,             4860
    6,    396,      30101,          0,      30101,   1.042026,             9851,            15506,             4744
    6,    408,      30605,          0,      30605,   1.016744,             9623,            16239,             4743
    6,    420,      30635,          0,      30635,   1.000980,             9566,            16142,             4927
    6,    432,      30458,          0,      30458,   0.994222,             9475,            15818,             5165
    6,    444,      31599,          0,      31599,   1.037461,            10168,            16271,             5160
    6,    456,      32326,          0,      32326,   1.023007,            10094,            17120,             5112
    6,    468,      33232,          0,      33232,   1.028027,            10532,            17424,             5276
    6,    480,      34066,          0,      34066,   1.025096,            10873,            17634,             5559
    6,    492,      34613,          0,      34613,   1.016057,            10833,            18168,             5612
