"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5","Trait Index  6","Trait Index  7","Trait Index  8"
    6,    349,     104015,          0,     104015,   3.814544,                0,            77606,             4110,            11187,             5784,             2919,             1348,              692,              369
    6,    350,     111402,          0,     111402,   1.071019,                0,            73428,            12518,            12525,             6839,             3327,             1584,              784,              397
    6,    351,     109085,          0,     109085,   0.979201,                0,            67830,            16578,            12178,             6616,             3201,             1551,              748,              383
    6,    352,     100991,          0,     100991,   0.925801,                0,            56771,            20574,            11645,             6345,             3068,             1499,              718,              371
    6,    353,      46607,          0,      46607,   0.461497,                0,             1388,            22779,            11093,             6011,             2897,             1418,              670,              351
    6,    354,      35285,          0,      35285,   0.757075,                0,                0,            14257,            10366,             5647,             2722,             1335,              628,              330
    6,    355,      33588,          0,      33588,   0.951906,                0,                0,            14063,             9671,             5256,             2494,             1223,              577,              304
    6,    356,      32223,          0,      32223,   0.959360,                0,                0,            14063,             9027,             4896,             2308,             1119,              529,              281
    6,    357,      30970,          0,      30970,   0.961115,                0,                0,            14063,             8428,             4563,             2152,             1024,              487,              253
    6,    358,      29891,          0,      29891,   0.965160,                0,                0,            14063,             7861,             4295,             2007,              976,              449,              240
    6,    359,      28805,          0,      28805,   0.963668,                0,                0,            13795,             7474,             4081,             1888,              914,              426,              227
    6,    360,      28049,          0,      28049,   0.973755,                0,                0,             8913,             9596,             5046,             2456,             1205,              561,              272
    6,    361,     103237,          0,     103237,   3.680595,                0,            76040,             4404,            11396,             5880,             3047,             1463,              686,              321
    6,    362,     110109,          0,     110109,   1.066565,                0,            71736,            12095,            13239,             6613,             3602,             1662,              796,              366
    6,    363,     108386,          0,     108386,   0.984352,                0,            66859,            16080,            12845,             6398,             3477,             1596,              782,              349
    6,    364,      99188,          0,      99188,   0.915137,                0,            54906,            19899,            12304,             6127,             3331,             1532,              755,              334
    6,    365,      46305,          0,      46305,   0.466841,                0,             1173,            22071,            11661,             5797,             3141,             1437,              710,              315
    6,    366,      35248,          0,      35248,   0.761214,                0,                0,            13623,            10971,             5462,             2910,             1340,              652,              290
    6,    367,      33487,          0,      33487,   0.950040,                0,                0,            13453,            10164,             5100,             2664,             1239,              598,              269
    6,    368,      32101,          0,      32101,   0.958611,                0,                0,            13453,             9482,             4761,             2476,             1121,              560,              248
    6,    369,      30867,          0,      30867,   0.961559,                0,                0,            13453,             8835,             4468,             2315,             1051,              516,              229
    6,    370,      29744,          0,      29744,   0.963618,                0,                0,            13453,             8268,             4196,             2156,              992,              468,              211
    6,    371,      28731,          0,      28731,   0.965943,                0,                0,            13309,             7841,             3987,             2032,              927,              434,              201
    6,    372,      27988,          0,      27988,   0.974139,                0,                0,             8635,             9603,             5087,             2614,             1194,              594,              261
    6,    373,     106327,          0,     106327,   3.799021,                0,            79163,             4222,            11276,             6017,             3123,             1484,              728,              314
    6,    374,     115138,          0,     115138,   1.082867,                0,            76457,            12540,            12781,             6870,             3509,             1757,              833,              391
    6,    375,     113849,          0,     113849,   0.988805,                0,            71506,            16994,            12440,             6647,             3372,             1706,              800,              384
    6,    376,     105462,          0,     105462,   0.926332,                0,            60163,            21005,            11915,             6359,             3247,             1643,              762,              368
    6,    377,      48356,          0,      48356,   0.458516,                0,             1695,            23668,            11280,             6045,             3058,             1551,              708,              351
    6,    378,      36000,          0,      36000,   0.744478,                0,                0,            14510,            10547,             5682,             2846,             1443,              650,              322
    6,    379,      34258,          0,      34258,   0.951611,                0,                0,            14261,             9831,             5281,             2645,             1336,              607,              297
    6,    380,      32851,          0,      32851,   0.958929,                0,                0,            14261,             9167,             4929,             2423,             1234,              565,              272
    6,    381,      31665,          0,      31665,   0.963898,                0,                0,            14261,             8592,             4632,             2243,             1148,              536,              253
    6,    382,      30577,          0,      30577,   0.965640,                0,                0,            14261,             8034,             4360,             2096,             1080,              505,              241
    6,    383,      29605,          0,      29605,   0.968211,                0,                0,            14133,             7626,             4130,             1981,             1028,              481,              226
    6,    384,      28887,          0,      28887,   0.975747,                0,                0,             9231,             9757,             5039,             2634,             1280,              629,              317
    6,    385,     113428,          0,     113428,   3.926610,                0,            85385,             4564,            11711,             5936,             3143,             1540,              761,              388
    6,    386,     122434,          0,     122434,   1.079398,                0,            81859,            13608,            13556,             6736,             3599,             1744,              902,              430
    6,    387,     119929,          0,     119929,   0.979540,                0,            75526,            18307,            13164,             6525,             3444,             1676,              877,              410
    6,    388,     110687,          0,     110687,   0.922938,                0,            63206,            22568,            12571,             6232,             3280,             1596,              846,              388
    6,    389,      50436,          0,      50436,   0.455663,                0,             1746,            25074,            11935,             5875,             3125,             1513,              800,              368
    6,    390,      37672,          0,      37672,   0.746927,                0,                0,            15577,            11192,             5523,             2879,             1405,              749,              347
    6,    391,      35780,          0,      35780,   0.949777,                0,                0,            15293,            10394,             5127,             2649,             1294,              696,              327
    6,    392,      34278,          0,      34278,   0.958021,                0,                0,            15293,             9683,             4741,             2435,             1186,              637,              303
    6,    393,      32985,          0,      32985,   0.962279,                0,                0,            15293,             9035,             4389,             2276,             1108,              601,              283
    6,    394,      31904,          0,      31904,   0.967228,                0,                0,            15293,             8486,             4129,             2143,             1026,              559,              268
    6,    395,      30856,          0,      30856,   0.967151,                0,                0,            15152,             8026,             3891,             2028,              975,              527,              257
    6,    396,      30101,          0,      30101,   0.975532,                0,                0,             9851,            10439,             5067,             2506,             1279,              635,              324
    6,    397,     112906,          0,     112906,   3.750905,                0,            83768,             4745,            12600,             6126,             2994,             1542,              751,              380
    6,    398,     120393,          0,     120393,   1.066312,                0,            78818,            13426,            14543,             7088,             3417,             1784,              862,              455
    6,    399,     121079,          0,     121079,   1.005698,                0,            75898,            17943,            14082,             6867,             3317,             1713,              830,              429
