"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5","Trait Index  6"
    1,      0,         10,          0,         10,   1.000000,               10,                0,                0,                0,                0,                0,                0
    1,      2,         65,          0,         65,   6.500000,                0,                0,                0,               61,                0,                0,                4
    1,     14,        231,          0,        231,   3.553846,                0,                0,                0,              219,                0,                0,               12
    1,     26,        566,          0,        566,   2.450217,                0,                0,                0,              530,                0,                0,               36
    1,     38,        879,          0,        879,   1.553004,                0,                0,                0,              830,                0,                0,               49
    1,     50,       1953,          0,       1953,   2.221843,                0,                0,                0,             1840,                0,                0,              113
    1,     62,       3558,          0,       3558,   1.821813,                0,                0,                0,             3364,                0,                0,              194
    1,     74,       7486,          0,       7486,   2.103991,                0,                0,                0,             7059,                0,                0,              427
    1,     86,      13632,          0,      13632,   1.820999,                0,                0,                0,            12860,                0,                0,              772
    1,     98,      26984,          0,      26984,   1.979460,                0,                0,                0,            25451,                0,                0,             1533
    1,    110,      50700,          0,      50700,   1.878891,                0,                0,                0,            47829,                0,                0,             2871
    1,    122,      98091,          0,      98091,   1.934734,                0,                0,                0,            92556,                0,                0,             5535
    1,    134,     189162,          0,     189162,   1.928434,                0,                0,                0,           178402,                0,                0,            10760
    1,    146,     355226,          0,     355226,   1.877893,                0,                0,                0,           335074,                0,                0,            20152
    1,    158,     694226,          0,     694226,   1.954322,                0,                0,                0,           654724,                0,                0,            39502
    1,    170,    1369983,          0,    1369983,   1.973396,                0,                0,                0,          1291611,                0,                0,            78372
    1,    182,    2626854,          0,    2626854,   1.917436,                0,                0,                0,          2475365,                0,                0,           151489
    1,    194,    5212460,          0,    5212460,   1.984298,                0,                0,                0,          4906600,                0,                0,           305860
    1,    206,   10107015,          0,   10107015,   1.939011,                0,                0,                0,          9494578,                0,                0,           612437
    1,    218,   18365822,          0,   18365822,   1.817136,                0,                0,                0,         17205019,                0,                0,          1160803
    1,    230,   31613727,          0,   31613727,   1.721335,                0,                0,                0,         29491472,                0,                0,          2122255
    1,    242,   50919889,          0,   50919889,   1.610689,                0,                0,                0,         47171389,                0,                0,          3748500
