"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3"
    1,      0,         10,          0,         10,   1.000000,                0,                4,                6,                0
    1,     12,         65,          0,         65,   6.500000,               55,                0,                4,                6
    1,     24,         90,          0,         90,   1.384615,               59,               31,                0,                0
    1,     36,        228,          0,        228,   2.533333,              189,               27,               12,                0
    1,     48,        362,          0,        362,   1.587719,              246,              104,               12,                0
    1,     60,        819,          0,        819,   2.262431,              648,              129,               41,                1
    1,     72,       1506,          0,       1506,   1.838828,             1100,              354,               51,                1
    1,     84,       3052,          0,       3052,   2.026560,             2348,              574,              129,                1
    1,     96,       5695,          0,       5695,   1.865990,             4239,             1236,              218,                2
    1,    108,      10819,          0,      10819,   1.899737,             8113,             2228,              471,                7
    1,    120,      21089,          0,      21089,   1.949256,            15917,             4305,              862,                5
    1,    132,      39895,          0,      39895,   1.891744,            29792,             8474,             1610,               19
    1,    144,      76368,          0,      76368,   1.914225,            57313,            15817,             3203,               35
    1,    156,     149016,          0,     149016,   1.951288,           112509,            30510,             5955,               42
    1,    168,     292456,          0,     292456,   1.962581,           219736,            60881,            11735,              104
    1,    180,     563389,          0,     563389,   1.926406,           422121,           117842,            23251,              175
    1,    192,    1152189,          0,    1152189,   2.045104,           869614,           235500,            46639,              436
    1,    204,    2269050,          0,    2269050,   1.969338,          1697119,           478772,            92283,              876
    1,    216,    4176698,          0,    4176698,   1.840725,          3075886,           915899,           183241,             1672
    1,    228,    7646249,          0,    7646249,   1.830692,          5635838,          1656761,           350214,             3436
    1,    240,   12847102,          0,   12847102,   1.680184,          9200443,          3012891,           627453,             6315
