"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1"
    1,      0,         10,          0,         10,   1.000000,               10,                0
    1,      2,         10,          0,         10,   1.000000,                6,                4
    1,     14,         62,          0,         62,   6.200000,               50,               12
    1,     26,         86,          0,         86,   1.387097,               50,               36
    1,     38,        219,          0,        219,   2.546512,              170,               49
    1,     50,        342,          0,        342,   1.561644,              229,              113
    1,     62,        771,          0,        771,   2.254386,              577,              194
    1,     74,       1438,          0,       1438,   1.865110,             1011,              427
    1,     86,       2913,          0,       2913,   2.025730,             2141,              772
    1,     98,       5437,          0,       5437,   1.866461,             3904,             1533
    1,    110,      10250,          0,      10250,   1.885231,             7379,             2871
    1,    122,      20229,          0,      20229,   1.973561,            14694,             5535
    1,    134,      37879,          0,      37879,   1.872510,            27119,            10760
    1,    146,      72158,          0,      72158,   1.904961,            52006,            20152
    1,    158,     142370,          0,     142370,   1.973031,           102868,            39502
    1,    170,     280323,          0,     280323,   1.968975,           201951,            78372
    1,    182,     540445,          0,     540445,   1.927937,           388956,           151489
    1,    194,    1106709,          0,    1106709,   2.047774,           800849,           305860
    1,    206,    2178709,          0,    2178709,   1.968638,          1566272,           612437
    1,    218,    4008650,          0,    4008650,   1.839920,          2847847,          1160803
    1,    230,    7339249,          0,    7339249,   1.830853,          5216994,          2122255
    1,    242,   12331468,          0,   12331468,   1.680208,          8582968,          3748500
