COMID,RID,shape_leng,pred_width,reach_area,ends,section
23670623,1504,180.524859099999986,60.545746610000002,10930.008079999999609,0,2
23673931,1846,274.602647199999979,29.549454030000000,8114.359709999999723,0,2
23681671,7,2274.074489999999969,1.723046400000000,3918.335818999999901,0,6
23681667,11,665.105346400000030,1.852755981000000,1232.277931999999964,0,6
23682371,13,2380.867767000000185,1.392959939000000,3316.453387999999904,0,6
23682347,15,2064.007042000000183,1.348636936000000,2783.596062999999958,1,6
23681405,26,678.252287900000056,4.436431495000000,3009.019738999999845,0,6
23681397,27,781.219227599999954,5.375645501000000,4199.557316000000355,0,6
23681399,29,947.346389400000021,5.337720501000000,5056.670358999999735,0,6
23681285,30,903.089457700000025,1.693273258000000,1529.177251000000069,0,6
23682275,32,6208.973296999999548,1.258463531000000,7813.766474000000017,0,6
23681597,34,1374.147032000000081,1.146788098000000,1575.855481999999938,1,6
23681511,37,214.788360799999992,0.991365361,212.933753999999993,0,6
23682235,38,3200.898885000000064,0.501697678,1605.883522999999968,1,6
23681315,130,3105.220044000000144,0.671451098,2085.003391000000192,1,6
23681523,131,1927.104970999999978,0.67423235,1299.316546000000017,1,6
23681279,132,805.557024599999977,1.952614324000000,1572.942133999999896,0,6
23681277,134,672.865739299999973,2.024101988000000,1361.948789999999917,0,6
23681353,135,1334.535321000000067,10.311978690000000,13761.699210000000676,0,6
23681509,136,3032.356150000000071,1.281887516000000,3887.139522999999826,0,6
23681339,138,78.748631810000006,11.337160219999999,892.786319899999967,0,6
23681575,142,5171.584622999999738,2.204734314000000,11401.970139999999446,0,6
23681329,143,3326.237791999999899,12.256783069999999,40768.974909999997180,0,6
23681325,144,1085.452657999999929,12.299153640000000,13350.148400000000038,0,6
23681103,146,654.940443599999981,1.402318639000000,918.435295099999962,0,6
23681499,148,1276.180033999999978,2.215757824000000,2827.705921000000217,0,6
23681319,150,157.858561500000008,12.330803670000000,1946.523122000000058,0,6
23682081,151,2619.483413999999811,0.738462124,1934.389265000000023,1,6
