"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5","Trait Index  6","Trait Index  7","Trait Index  8","Trait Index  9","Trait Index 10","Trait Index 11","Trait Index 12","Trait Index 13","Trait Index 14","Trait Index 15","Trait Index 16","Trait Index 17","Trait Index 18","Trait Index 19","Trait Index 20","Trait Index 21","Trait Index 22","Trait Index 23","Trait Index 24","Trait Index 25","Trait Index 26","Trait Index 27","Trait Index 28","Trait Index 29","Trait Index 30","Trait Index 31","Trait Index 32","Trait Index 33","Trait Index 34","Trait Index 35","Trait Index 36"
    1,     21,        152,          0,        152,   0.921212,                0,                0,                0,                0,                0,                0,                0,                0,              100,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               51,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                1
    1,     22,        139,          0,        139,   0.914474,                0,                0,                0,                0,                0,                0,                0,                0,                0,               93,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               45,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                1
    1,     23,        130,          0,        130,   0.935252,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               87,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               42,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                1
    1,     24,        125,          0,        125,   0.961538,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               82,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               42,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                1
    1,     25,        120,          0,        120,   0.960000,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               81,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               38,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                1
    1,     26,        643,          0,        643,   5.358333,                0,              530,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               78,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               35,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0
    1,     27,        614,          0,        614,   0.954899,                0,                0,              506,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               76,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               32,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0
    1,     28,        568,          0,        568,   0.925081,                0,                0,                0,              467,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               71,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               30,                0,                0,                0,                0,                0,                0,                0,                0,                0
    1,     29,        523,          0,        523,   0.920775,                0,                0,                0,                0,              428,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               69,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               26,                0,                0,                0,                0,                0,                0,                0,                0
    1,     30,        476,          0,        476,   0.910134,                0,                0,                0,                0,                0,              388,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               62,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               26,                0,                0,                0,                0,                0,                0,                0
