Step,Seg 165,Seg 314,Seg 315,Seg 316,Seg 317,Seg 318,Seg 319,Seg 320,Seg 321,Seg 527,Seg 641,Seg 642,Seg 643,Seg 646,Seg 647,Seg 648,Seg 815,Seg 817,Seg 836,Seg 990,Seg 994,Seg 995,Seg 996,Seg 997,Seg 998,Seg 999,Seg 1000,Seg 1001,Seg 1162,Seg 1163,Seg 1329,Seg 1330,Seg 1336,Seg 1337,Seg 1338,Seg 1339,Seg 1341,Seg 1489,Seg 1509,Seg 1660,Seg 1662,Seg 1663,Seg 1664,Seg 1665,Seg 1666,Seg 1669,Seg 1674,Seg 1675,Seg 1677,Seg 1839,Seg 1840,Seg 1868,Seg 1877,Seg 1882,Seg 2022,Seg 2023,Seg 2025,Seg 2030,Seg 2032,Seg 2033,Seg 2121,Seg 2129,Seg 2214,Seg 2216,
21,6,0,850,332,2,456,0,6,292,0,4,0,0,4,8,14,0,342,0,0,0,0,0,382,0,14,60142,39928,0,0,0,6,0,0,362,0,12126,0,0,24,0,0,4,0,0,0,0,2,16,0,0,0,2,0,0,0,6,0,4110,10,428,0,58,42,
22,4,0,648,266,2,362,0,6,234,0,4,0,0,4,8,12,0,246,0,0,0,0,0,268,0,8,46196,30604,0,0,0,4,0,0,268,0,9400,0,0,18,0,0,4,0,0,0,0,2,12,0,0,0,2,0,0,0,4,0,3136,10,334,0,40,28,
23,4,0,488,202,2,276,0,8,162,0,2,0,0,4,6,10,0,190,0,0,0,0,0,208,0,8,35794,23806,0,0,0,4,0,0,196,0,7358,0,0,12,0,0,0,0,0,0,0,2,10,0,0,0,2,0,0,0,4,2,2476,6,258,0,36,32,
24,4,0,388,162,576,214,0,6,124,0,2,2,0,4,6,12,0,140,0,0,0,0,0,166,0,4,31285,21725,0,0,0,4,0,0,158,0,6451,0,0,8,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,2052,6,212,0,30,20,
25,4,0,322,704,998,172,0,4,667,0,4,0,0,4,6,8,0,120,0,0,0,0,0,144,0,4,52352,36733,0,0,0,4,0,0,122,0,9996,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,572,2319,6,180,0,22,4,
26,4,0,286,1691,870,152,0,2,1086,0,2,2,0,4,0,4,0,102,0,0,0,0,0,124,0,2,78468,52961,0,0,0,4,0,0,102,0,13750,0,0,6,0,0,0,0,0,0,0,0,578,0,0,0,0,0,2,0,0,1421,3388,4,152,0,20,2,
27,0,0,657,2066,1184,130,2,0,946,0,4,0,0,0,0,2,0,88,0,2,0,0,0,513,0,2,84727,59243,0,0,0,4,0,0,94,0,16989,0,0,6,0,0,0,0,0,0,0,0,1429,95,0,0,0,0,0,0,0,1642,3842,0,130,0,16,2,
28,2,0,1416,2318,1478,122,0,0,868,0,0,0,0,0,0,0,0,72,0,0,0,0,0,850,0,0,87396,64046,0,0,0,0,0,0,90,0,19078,0,0,6,4,0,0,0,0,0,0,0,1664,178,0,0,0,0,0,0,0,1536,4116,0,112,0,18,0,
29,2,0,1690,2528,1388,110,0,0,808,0,0,2,0,0,0,0,0,62,0,0,0,2,0,802,0,0,84988,62378,0,0,0,0,0,0,80,0,17642,0,0,6,2,0,0,2,0,2,0,0,1516,172,0,0,0,0,0,0,0,1420,4318,0,94,0,14,0,
30,2,0,1518,2286,1258,102,0,0,716,0,0,2,0,0,0,0,0,56,0,0,0,2,0,734,0,0,76776,56158,0,0,0,0,0,0,76,0,15814,0,0,6,2,0,0,2,0,2,0,0,1332,156,0,0,0,0,0,0,0,1256,3904,0,80,0,14,0,
31,2,0,1294,2016,1072,84,0,0,612,0,0,2,0,0,0,0,0,52,0,0,0,2,0,620,0,0,65040,47804,0,0,0,0,0,0,58,0,13358,0,0,6,2,0,0,0,0,2,0,0,1122,134,0,0,0,0,0,0,0,1096,3340,0,68,0,10,0,
32,2,0,1058,1652,874,66,0,0,498,0,0,2,0,0,0,0,0,40,0,0,0,2,0,502,0,0,52968,38976,0,0,0,0,0,0,46,0,10864,0,0,4,2,0,0,0,0,2,0,0,880,110,0,0,0,0,0,0,0,902,2736,0,60,0,8,0,
33,2,0,778,1298,666,46,0,0,394,0,0,2,0,0,0,0,0,26,0,0,0,2,0,380,0,0,41586,30560,0,0,0,0,0,0,32,0,8432,0,0,4,2,0,0,0,0,0,0,0,700,80,0,0,0,0,0,0,0,712,2160,0,48,0,8,0,
34,0,0,616,1000,516,36,0,0,292,0,0,2,0,0,0,0,0,14,0,0,0,2,0,292,0,0,32034,23612,0,0,0,0,0,0,28,0,6480,0,0,4,2,0,0,0,0,0,0,0,554,60,0,0,0,0,0,0,0,528,1638,0,36,0,8,0,
35,0,0,482,790,382,30,0,0,222,0,0,2,0,0,0,0,0,14,0,0,0,0,0,238,0,0,25206,18728,0,0,0,0,0,0,22,0,5110,0,0,4,0,0,0,0,0,0,0,0,444,48,0,0,0,0,0,0,0,412,1282,0,30,0,6,0,
36,0,0,384,636,294,26,0,0,184,0,0,0,0,0,0,0,0,12,0,0,0,0,0,176,0,0,21553,15022,0,0,0,0,0,0,18,0,4060,0,0,2,0,0,0,0,0,0,0,0,362,36,0,0,0,0,0,0,0,316,1451,0,20,0,6,0,
37,0,0,1455,1673,1095,16,0,0,721,0,0,0,0,0,0,0,0,4,0,0,0,0,0,152,0,0,35008,25001,0,0,0,0,0,0,14,0,5977,0,0,2,0,0,0,0,0,0,0,0,310,32,0,0,0,0,0,0,0,256,4117,0,14,0,6,0,
38,0,0,2276,2464,2076,16,0,0,1120,0,0,0,0,0,0,0,0,2,0,0,0,0,0,132,0,0,51172,36723,0,0,0,0,0,0,433,0,7966,0,0,0,0,0,0,0,0,0,0,0,272,26,0,0,0,0,2,0,0,224,6284,0,12,0,4,0,
39,0,0,2078,2679,2286,14,0,0,1018,0,0,0,0,0,0,0,2,2,0,0,0,0,0,112,0,0,60999,41176,2,0,0,0,0,0,776,0,8137,0,0,0,0,0,0,0,2,0,0,0,236,22,0,0,0,0,0,0,0,208,6078,0,10,0,0,0,
40,0,0,1960,2858,2547,14,2,0,954,0,0,0,0,0,0,415,0,2,0,0,0,0,0,110,0,0,70900,47346,0,2,0,0,0,0,734,0,10198,0,0,0,0,0,0,0,2,0,0,0,216,20,2,0,0,0,0,0,0,182,6534,0,6,0,0,0,
41,0,0,1768,2582,2694,14,2,0,868,0,0,0,0,0,0,770,0,2,0,0,0,0,0,92,0,0,70548,47790,0,2,0,0,0,0,690,0,11214,0,0,0,0,0,0,0,2,0,0,0,180,16,2,0,0,0,0,0,0,172,6706,0,6,0,0,0,
42,0,0,1580,2280,2450,14,2,0,768,0,0,0,0,0,0,700,0,2,0,0,0,0,0,76,0,0,62870,42578,0,2,0,0,0,0,616,0,9990,0,0,0,0,0,0,0,2,0,0,0,152,14,2,0,0,0,0,0,0,152,6000,0,6,0,0,0,
43,0,0,1358,1934,2092,14,2,0,674,0,0,0,0,0,0,580,0,2,0,0,0,0,0,64,0,0,52864,35812,0,2,0,0,0,0,506,0,8326,0,0,0,0,0,0,0,0,0,0,0,132,12,2,0,0,0,0,0,0,130,4970,0,6,0,0,0,
44,0,0,1116,1512,1676,14,2,0,546,0,0,0,0,0,0,460,0,2,0,0,0,0,0,52,0,0,42538,28706,0,2,0,0,0,0,410,0,6684,0,0,0,0,0,0,0,0,0,0,0,108,8,2,0,0,0,0,0,0,106,4032,0,4,0,0,0,
45,0,0,886,1206,1308,12,2,0,452,0,0,0,0,0,0,356,0,0,0,0,0,0,0,44,0,0,34036,22768,0,2,0,0,0,0,336,0,5244,0,0,0,0,0,0,0,0,0,0,0,84,4,2,0,0,0,0,0,0,90,3162,0,4,0,0,0,
46,0,0,706,910,1010,6,0,0,362,0,0,0,0,0,0,294,0,0,0,0,0,0,0,32,0,0,26660,17998,0,2,0,0,0,0,268,0,4186,0,0,0,0,0,0,0,0,0,0,0,66,2,2,0,0,0,0,0,0,74,2464,6,2,0,0,0,
47,0,0,552,722,796,4,2,0,290,0,0,0,0,0,0,240,0,0,0,0,0,0,0,32,0,0,20794,14330,0,2,0,0,0,0,206,0,3274,0,0,0,0,0,0,0,0,0,0,0,56,2,2,0,0,0,0,0,0,62,1982,2,0,0,0,0,
48,0,0,454,580,638,4,0,0,238,0,2,0,0,0,0,192,0,0,0,0,0,2,0,24,0,0,18214,13323,0,0,0,0,0,0,154,0,2672,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,52,2426,0,0,0,0,0,
49,0,0,950,490,534,0,573,0,208,0,0,2,0,0,0,170,0,0,0,0,0,0,0,18,0,0,26701,24164,0,0,0,0,0,0,138,0,7317,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,42,5476,0,0,0,0,0,
50,0,0,1312,412,478,0,994,0,168,0,2,413,0,0,0,144,0,0,0,0,0,0,0,16,0,0,43924,36411,0,0,0,0,0,0,116,0,11602,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,32,7566,0,0,0,0,2,
51,41,0,1176,376,414,0,882,0,158,0,0,738,0,0,0,134,0,0,0,0,0,0,0,14,0,0,60683,43943,0,0,0,0,0,0,108,0,12322,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,28,8867,0,0,0,0,0,
52,74,0,1112,1173,374,2,820,0,150,0,0,688,0,0,0,126,0,0,0,0,0,0,0,14,0,0,76795,52408,0,0,0,0,0,0,106,0,12871,0,0,0,0,0,0,0,0,0,0,0,28,2,0,0,0,0,0,0,0,26,10195,0,0,0,0,0,
53,64,0,1014,1858,330,2,774,0,130,0,0,654,0,0,0,120,0,0,0,0,0,0,0,18,0,0,80924,54042,0,0,0,0,0,0,98,0,12340,0,0,0,0,0,0,0,0,0,0,0,28,2,0,0,0,0,0,0,0,26,9978,0,0,0,0,0,
54,60,0,914,1658,298,2,678,0,112,0,0,592,0,0,0,102,0,0,0,0,0,0,0,18,0,0,72220,48262,0,0,0,0,0,0,86,0,11042,0,0,0,0,0,0,0,0,0,0,0,26,2,0,0,0,0,0,0,0,22,8864,0,0,0,0,0,
55,50,0,762,1456,256,2,570,0,102,0,0,516,0,0,0,88,0,0,0,0,0,0,0,16,0,0,61766,41488,0,0,0,0,0,0,72,0,9474,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,14,7612,0,0,0,0,0,
56,40,0,582,1164,212,2,452,0,86,0,0,416,0,0,0,68,0,0,0,0,0,0,0,10,0,0,49198,33020,0,0,0,0,0,0,54,0,7570,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,12,6112,0,0,0,0,0,
57,28,0,452,904,160,2,390,0,58,0,0,330,0,0,0,48,0,0,0,0,0,0,0,8,0,0,38970,26042,0,0,0,0,0,0,42,0,5850,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,12,4800,0,0,0,0,0,
58,24,0,332,690,134,2,314,8,74,0,0,232,0,0,0,28,0,0,0,0,0,0,0,6,0,0,29118,19432,0,0,0,0,0,0,26,0,4282,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12,3578,0,0,0,0,0,
59,22,0,250,510,112,2,248,2,36,0,0,188,0,0,0,20,0,0,0,0,0,0,0,6,0,0,22884,15290,0,0,0,0,0,0,26,0,3368,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,8,2828,0,0,0,0,0,
60,18,0,196,422,100,6,194,0,34,0,0,156,0,0,0,16,0,0,0,0,0,0,0,8,0,0,19282,12604,0,0,0,0,0,0,22,0,2794,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,2346,0,0,0,0,0,
61,14,0,158,1340,509,0,166,0,18,0,0,555,0,0,0,12,0,0,0,0,0,0,0,4,0,0,32595,19465,0,0,0,0,0,0,1163,0,5608,0,0,0,0,0,0,0,0,0,0,0,416,0,0,0,0,0,0,0,0,0,2024,0,0,0,0,0,
62,12,0,132,2062,810,0,138,0,18,0,0,856,0,0,0,6,0,0,0,0,0,0,0,4,0,0,48070,30050,0,0,0,0,0,0,2456,0,8614,0,0,0,0,0,0,0,0,0,0,0,738,0,0,0,0,0,0,0,0,0,3184,0,0,0,0,2,
63,10,0,522,1844,724,0,126,0,12,0,0,784,0,0,0,8,0,0,0,0,0,0,0,4,0,0,53604,33399,0,0,0,0,0,0,2540,0,9559,0,0,0,0,0,0,0,0,0,0,0,666,0,0,0,0,0,0,0,0,0,4703,0,0,0,0,0,
64,8,0,872,1734,666,4,112,0,14,0,0,724,0,0,0,6,0,0,0,0,0,0,0,2,0,0,60083,36026,0,0,0,0,0,0,2382,0,9910,0,0,0,0,0,0,0,0,0,0,0,602,0,0,0,0,0,0,0,0,2,5731,0,0,0,0,0,
65,8,0,816,1620,628,2,102,0,12,0,0,680,0,0,0,4,0,0,0,0,0,0,0,2,0,0,60696,36752,0,0,0,0,0,0,2256,0,9310,0,0,0,0,0,0,0,0,0,0,0,550,0,0,0,0,0,0,0,0,0,6102,0,0,0,0,0,
66,8,0,708,1490,556,2,92,0,12,0,0,612,0,0,0,4,0,0,0,0,0,0,0,2,0,0,53874,32478,0,0,0,0,0,0,1966,0,8220,0,0,0,0,0,0,0,0,0,0,0,490,0,0,0,0,0,0,0,0,0,5458,0,0,0,0,0,
67,8,0,604,1276,466,2,70,0,12,0,0,520,0,0,0,4,0,0,0,0,0,0,0,2,0,0,45920,27630,0,0,0,0,0,0,1680,0,6988,0,0,0,0,0,0,0,0,0,0,0,406,0,0,0,0,0,0,0,0,0,4642,0,0,0,0,0,
68,4,0,488,1036,398,2,56,0,10,0,0,428,0,0,0,4,0,0,0,0,0,0,0,2,0,0,37322,22366,0,0,0,0,0,0,1278,0,5550,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,3640,0,0,0,0,0,
69,2,0,390,828,314,2,48,0,8,0,0,344,0,0,0,4,0,0,0,0,0,0,0,2,0,0,29330,17780,0,0,0,0,0,0,1002,0,4422,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,2868,0,0,0,0,0,
70,2,0,306,648,254,0,36,0,10,0,0,276,0,0,0,4,0,0,0,0,0,0,0,2,0,0,22584,13778,0,0,0,0,0,0,774,0,3346,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,2232,0,0,0,0,0,
71,2,0,248,484,186,0,26,0,6,0,0,234,0,0,0,0,0,0,0,0,0,0,0,4,0,0,17834,10876,0,0,0,0,0,0,578,0,2606,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,2,1778,0,0,0,0,0,
72,0,0,202,802,150,0,26,0,6,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15656,10329,0,0,0,0,0,0,466,0,2174,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,4,1462,0,0,0,0,0,
73,0,0,162,2156,535,0,18,0,0,0,2,735,0,0,0,2,0,0,0,0,0,0,0,574,0,0,28612,17757,0,0,0,0,0,0,378,0,2669,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,1232,0,0,0,0,0,
74,0,0,1125,2868,842,2,18,0,4,0,2,1138,0,0,0,0,0,0,0,0,0,0,0,1046,0,0,43726,25914,0,0,0,0,0,0,312,0,3840,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,2,1918,0,0,0,0,0,
